ai ming	China:Wuhan Univ, Renmin Hosp, Dept Ophthalmol, Wuhan 430072,Peoples R China. Wuhan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Clinical analysis of firework-related ocular injuries during Spring Festival 2009
wu wutian	China:Univ Hong Kong, State Key Lab Brian & Cognit Sci, Hong Kong,Peoples R China. University of Hong Kong	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Blocking LINGO-1 function promotes retinal ganglion cell survival following ocular hypertension and optic nerve transection
wu x	China:Shanghai Jiao Tong Univ, Dept Ophthalmol, Affiliated Peoples Hosp 1, Shanghai 200030,Peoples R China. Shanghai Jiao Tong University	EYE	Safety and efficacy of intravitreal injection of recombinant erythropoietin for protection of photoreceptor cells in a rat model of retinal detachment
wu x	China:Shanghai Jiao Tong Univ, Dept Ophthalmol, Affiliated Peoples Hosp 1, Shanghai 200030,Peoples R China. Shanghai Jiao Tong University	CURRENT EYE RESEARCH	Effects of Supplemental Erythropoietin on Its Receptor Expression and Signal Transduction Pathways in Rat Model of Retinal Detachment
wu x	China:Shanghai Jiao Tong Univ, Dept Ophthalmol, Affiliated Peoples Hosp 1, Shanghai 200030,Peoples R China. Shanghai Jiao Tong University	CURRENT EYE RESEARCH	Intravitreal Injection of Soluble Erythropoietin Receptor Exacerbates Photoreceptor Cell Apoptosis in a Rat Model of Retinal Detachment
wu xianggen	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	Prophylactic Effect of Topical Fluoroquinolones in a Rabbit Model of Staphylococcus aureus Endophthalmitis
wu xianggen	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	INTRAVITREALLY IMPLANTABLE VORICONAZOLE DELIVERY SYSTEM FOR EXPERIMENTAL FUNGAL ENDOPHTHALMITIS
wu xiangqian	China:Harbin Inst Technol, Sch Comp Sci & Technol, Harbin 150006,Peoples R China. Harbin Institute of Technology	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Evaluation of crowded optic nerve head and small scleral canal in intrapapillary hemorrhage with adjacent peripapillary subretinal hemorrhage
wu xiaoming	China:Shandong Eye Inst, State Key Lab Cultivat Base, Shandong Prov Key Lab Ophthalmol, Qingdao 266071,Peoples R China. 	EUROPEAN JOURNAL OF OPHTHALMOLOGY	Ultrasound biomicroscopy imaging of sclerotomy in children with cataract undergoing 25-gauge sutureless pars plana anterior vitrectomy
wu xinyi	China:Shandong Univ, Qilu Hosp, Sch Med, Dept Ophthalmol, Jinan 250012, Shandong,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	General anesthesia versus local anesthesia for penetrating keratoplasty: a prospective study
wu zhenfeng	China:Yijishan Hosp, Wannan Med Coll, Dept Ophthalmol, Wuhu 241001, Anhui,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Proteomic analysis of human serum from diabetic retinopathy
xia xiaobo	China:Cent S Univ, Dept Ophthalmol, Xiangya Hosp, Changsha 410008, Hunan,Peoples R China. Central South University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Caveolin-1 expression regulates blood-retinal barrier permeability and retinal neovascularization in oxygen-induced retinopathy
xia xiaobo	China:Cent S Univ, Dept Ophthalmol, Xiangya Hosp, Changsha 410008, Hunan,Peoples R China. Central South University	OPHTHALMOLOGICA	Netrin-1 Overexpression in Oxygen-Induced Retinopathy Correlates with Breakdown of the Blood-Retina Barrier and Retinal Neovascularization
xia xiaobo	China:Cent S Univ, Dept Ophthalmol, Xiangya Hosp, Changsha 410008, Hunan,Peoples R China. Central South University	CURRENT EYE RESEARCH	Role of Intravitreal Inflammatory Cytokines and Angiogenic Factors in Proliferative Diabetic Retinopathy
xia xiaobo	China:Cent S Univ, Dept Ophthalmol, Xiangya Hosp, Changsha 410008, Hunan,Peoples R China. Central South University	CURRENT EYE RESEARCH	Suppression of Retinal Neovascularization by shRNA Targeting HIF-1 alpha
xia xiaobo	China:Cent S Univ, Dept Ophthalmol, Xiangya Hosp, Changsha 410008, Hunan,Peoples R China. Central South University	OPHTHALMOLOGICA	Suppression of Retinal Neovascularization by Small-Interference RNA Targeting Erythropoietin
xia xin	China:Nanjing Med Univ, Dept Ophthalmol, Affiliated Hosp 1, Nanjing 210029, Jiangsu,Peoples R China. Nanjing Medical University	CURRENT EYE RESEARCH	Pharmacokinetics of HM-3 After Intravitreal Administration in Mice
xiao haibo	China:Sichuan Univ, W China Hosp, Natl Chengdu Ctr Safety Evaluat Drugs, Chengdu 610041, Sichuan,Peoples R China. Sichuan University	EXPERIMENTAL EYE RESEARCH	Pharmacokinetics of a long-lasting anti-VEGF fusion protein in rabbit
xiao xueshan	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	An evaluation of OPTC and EPYC as candidate genes for high myopia
xie bing	China:Jiao Tong Univ, Sch Med, Ruijin Hosp, Dept Ophthalmol, Shanghai 200025,Peoples R China. Shanghai Jiao Tong University	OCULAR IMMUNOLOGY AND INFLAMMATION	Effect of Pigment Epithelium Derived Factor on the Expression of Glutamine Synthetase in Early Phase of Experimental Diabetic Retinopathy
xie bing	China:Jiao Tong Univ, Sch Med, Ruijin Hosp, Dept Ophthalmol, Shanghai 200025,Peoples R China. Shanghai Jiao Tong University	EXPERIMENTAL EYE RESEARCH	A novel and effective human hepatocyte growth factor kringle 1 domain inhibits ocular neovascularization
xie c	China:Sun Yat Sen Univ, Ctr Canc, Dept Med Imaging & Intervent Radiol, State Key Lab Oncol So China, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	EYE	Evaluation of supporting role of a foldable capsular vitreous body with magnetic resonance imaging in the treatment of severe retinal detachment in human eyes
xie chunlei	China:Tongji Univ, Sch Med, Shanghai Peoples Hosp 10, Dept Ophthalmol, Shanghai 200072,Peoples R China. Tongji University	EXPERIMENTAL EYE RESEARCH	Differentiating vitreous proteomes in proliferative diabetic retinopathy using high-performance liquid chromatography coupled to tandem mass spectrometry
xie huatao	China:Huazhong Univ Sci & Technol, Tongji Med Coll, Union Hosp, Dept Ophthalmol, Wuhan 430022, Hubei Province,Peoples R China. Huazhong University of Science & Technology	MOLECULAR VISION	Pharmacokinetics and retinal toxicity of various doses of intravitreal triamcinolone acetonide in rabbits
xie jing	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	The Development of the Refractive Status and Ocular Growth in C57BL/6 Mice
xie jing	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	VISION RESEARCH	Biometric measurement of the mouse eye using optical coherence tomography with focal plane advancement
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	BRITISH JOURNAL OF OPHTHALMOLOGY	Short-term outcomes of dry pars plana posterior capsulotomy and anterior vitrectomy in paediatric cataract surgery using 25-gauge instruments
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	OPHTHALMOLOGY	Risk Factors, Clinical Features, and Outcomes of Recurrent Fungal Keratitis after Corneal Transplantation
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	INTRAVITREALLY IMPLANTABLE VORICONAZOLE DELIVERY SYSTEM FOR EXPERIMENTAL FUNGAL ENDOPHTHALMITIS
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	CURRENT EYE RESEARCH	Expression Profile and Regulation of Telomerase Reverse Transcriptase on Oxygen-Induced Retinal Neovascularization
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	EUROPEAN JOURNAL OF OPHTHALMOLOGY	Ultrasound biomicroscopy imaging of sclerotomy in children with cataract undergoing 25-gauge sutureless pars plana anterior vitrectomy
xie mingliang	China:Nanao People Hosp, Shantou,Peoples R China. 	MOLECULAR VISION	Endophenotyping reveals differential phenotype-genotype correlations between myopia-associated polymorphisms and eye biometric parameters
xie ping	China:Nanjing Med Univ, Dept Ophthalmol, Affiliated Hosp 1, Nanjing 210029, Jiangsu,Peoples R China. Nanjing Medical University	CURRENT EYE RESEARCH	Pharmacokinetics of HM-3 After Intravitreal Administration in Mice
xie ruozhong	China:Hosp Eye, Sch Optometry & Ophthalmol, Wenzhou Med Coll, Wenzhou 325003, Zhejiang,Peoples R China. Wenzhou Medical University	EXPERIMENTAL EYE RESEARCH	Axial myopia induced by hyperopic defocus in guinea pigs: A detailed assessment on susceptibility and recovery
xie ruozhong	China:Hosp Eye, Sch Optometry & Ophthalmol, Wenzhou Med Coll, Wenzhou 325003, Zhejiang,Peoples R China. Wenzhou Medical University	CURRENT EYE RESEARCH	Spontaneous High Myopia in One Eye Will Affect the Development of Form Deprivation Myopia in the Fellow Eye
xie ruozhong	China:Hosp Eye, Sch Optometry & Ophthalmol, Wenzhou Med Coll, Wenzhou 325003, Zhejiang,Peoples R China. Wenzhou Medical University	OPTOMETRY AND VISION SCIENCE	Correlation Between Myopia and Major Biometric Parameters of the Eye: A Retrospective Clinical Study
xie xiwei	China:Capital Univ Med Sci, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	OPHTHALMIC SURGERY LASERS & IMAGING	Posterior Vitreous Contraction After Cerebral Sinus Thrombosis
xie z	China:Yangzhou Univ, Dept Ophthalmol, Sch Clin Med, Subei Peoples Hosp Jiangsu Prov, Yangzhou 225001, Jiangsu,Peoples R China. Yangzhou University	EYE	Safety and efficacy of intravitreal injection of recombinant erythropoietin for protection of photoreceptor cells in a rat model of retinal detachment
xie z	China:Yangzhou Univ, Dept Ophthalmol, Sch Clin Med, Subei Peoples Hosp Jiangsu Prov, Yangzhou 225001, Jiangsu,Peoples R China. Yangzhou University	CURRENT EYE RESEARCH	Intravitreal Injection of Soluble Erythropoietin Receptor Exacerbates Photoreceptor Cell Apoptosis in a Rat Model of Retinal Detachment
xie z	China:Yangzhou Univ, Dept Ophthalmol, Sch Clin Med, Subei Peoples Hosp Jiangsu Prov, Yangzhou 225001, Jiangsu,Peoples R China. Yangzhou University	CURRENT EYE RESEARCH	Effects of Supplemental Erythropoietin on Its Receptor Expression and Signal Transduction Pathways in Rat Model of Retinal Detachment
xie zhiyong	China:Sun Yat Sen Univ, Lab Pharmaceut Anal & Qual Assessment, Sch Pharmaceut Sci, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	A Preliminary Study to Treat Severe Endophthalmitis via a Foldable Capsular Vitreous Body with Sustained Levofloxacin Release in Rabbits
xie zhiyong	China:Sun Yat Sen Univ, Lab Pharmaceut Anal & Qual Assessment, Sch Pharmaceut Sci, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Sustained Mechanical Release of Dexamethasone Sodium Phosphate from a Foldable Capsular Vitreous Body
xie zhiyong	China:Sun Yat Sen Univ, Lab Pharmaceut Anal & Qual Assessment, Sch Pharmaceut Sci, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	Evaluation of Levofloxacin Release Characteristics from a Human Foldable Capsular Vitreous Body In Vitro
xing yiqiao	China:Wuhan Univ, Ctr Eye, Renmin Hosp, Wuhan 430060,Peoples R China. Wuhan University	MOLECULAR VISION	Overexpression of 15-lipoxygenase-1 in oxygen-induced ischemic retinopathy inhibits retinal neovascularization via downregulation of vascular endothelial growth factor-A expression
xing yiqiao	China:Wuhan Univ, Ctr Eye, Renmin Hosp, Wuhan 430060,Peoples R China. Wuhan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Clinical analysis of firework-related ocular injuries during Spring Festival 2009
xing yiqiao	China:Wuhan Univ, Ctr Eye, Renmin Hosp, Wuhan 430060,Peoples R China. Wuhan University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	SUPRACHOROIDAL HEMORRHAGE DURING PARS PLANA VITRECTOMY IN TRAUMATIZED EYES
xiong siqi	China:Cent S Univ, Dept Ophthalmol, Xiangya Hosp, Changsha 410008, Hunan,Peoples R China. Central South University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Caveolin-1 expression regulates blood-retinal barrier permeability and retinal neovascularization in oxygen-induced retinopathy
xiong siqi	China:Cent S Univ, Dept Ophthalmol, Xiangya Hosp, Changsha 410008, Hunan,Peoples R China. Central South University	OPHTHALMOLOGICA	Netrin-1 Overexpression in Oxygen-Induced Retinopathy Correlates with Breakdown of the Blood-Retina Barrier and Retinal Neovascularization
xiong siqi	China:Cent S Univ, Dept Ophthalmol, Xiangya Hosp, Changsha 410008, Hunan,Peoples R China. Central South University	CURRENT EYE RESEARCH	Suppression of Retinal Neovascularization by shRNA Targeting HIF-1 alpha
xiong siqi	China:Cent S Univ, Dept Ophthalmol, Xiangya Hosp, Changsha 410008, Hunan,Peoples R China. Central South University	OPHTHALMOLOGICA	Suppression of Retinal Neovascularization by Small-Interference RNA Targeting Erythropoietin
xu bing	China:Capital Med Univ, Beijing Shijitan Hosp, Dept Ophthalmol, Beijing 100038,Peoples R China. Capital Medical University	MOLECULAR VISION	Study of 27 aqueous humor cytokines in patients with type 2 diabetes with or without retinopathy
xu bo	China:Harbin Med Univ, Clin Coll 1, Ophthalmol Hosp, Harbin 150001, Heilongjiang Pr,Peoples R China. Harbin Medical University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Evaluation of crowded optic nerve head and small scleral canal in intrapapillary hemorrhage with adjacent peripapillary subretinal hemorrhage
xu fei	China:Beijing Union Med Coll Hosp, Dept Ophthalmol, Peking Union Med Coll, Beijing 100730,Peoples R China. Chinese Academy of Medical Sciences - Peking Union Medical College	OPHTHALMIC GENETICS	Thirty-two years follow-up of X-linked juvenile retinoschisis in a Chinese patient with RS1 mutation
xu gezhi	China:Fudan Univ, Dept Ophthalmol, Eye & ENT Hosp, Shanghai 200433,Peoples R China. Fudan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Clinical characteristics of ocular toxocariasis in Eastern China
xu gezhi	China:Fudan Univ, Dept Ophthalmol, Eye & ENT Hosp, Shanghai 200433,Peoples R China. Fudan University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Aquaporin Changes during Diabetic Retinopathy in Rats Are Accelerated by Systemic Hypertension and Are Linked to the Renin-Angiotensin System
xu gezhi	China:Fudan Univ, Dept Ophthalmol, Eye & ENT Hosp, Shanghai 200433,Peoples R China. Fudan University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	Macular hole formation in patients with retinitis pigmentosa and prognosis of pars plana vitrectomy
xu gezhi	China:Fudan Univ, Dept Ophthalmol, Eye & ENT Hosp, Shanghai 200433,Peoples R China. Fudan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Effect of preoperative retinal sensitivity and fixation on long-term prognosis for idiopathic macular holes
xu gezhi	China:Fudan Univ, Dept Ophthalmol, Eye & ENT Hosp, Shanghai 200433,Peoples R China. Fudan University	CURRENT EYE RESEARCH	Expression of Macrophage Colony-Stimulating Factor (M-CSF) and Its Receptor in Streptozotocin-Induced Diabetic Rats
xu gezhi	China:Fudan Univ, Dept Ophthalmol, Eye & ENT Hosp, Shanghai 200433,Peoples R China. Fudan University	OCULAR IMMUNOLOGY AND INFLAMMATION	Vitrectomy for Endogenous Fungal Endophthalmitis
xu guotong	China:Chinese Acad Sci, Lab Clin Visual Sci, Inst Hlth Sci, Shanghai Inst Biol Sci, Shanghai,Peoples R China. Chinese Academy of SciencesShanghai Institutes for Biological Sciences	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Intravitreal Injection of Exendin-4 Analogue Protects Retinal Cells in Early Diabetic Rats
xu guotong	China:Chinese Acad Sci, Lab Clin Visual Sci, Inst Hlth Sci, Shanghai Inst Biol Sci, Shanghai,Peoples R China. Chinese Academy of SciencesShanghai Institutes for Biological Sciences	OPHTHALMIC SURGERY LASERS & IMAGING	Effects of Intravitreal Erythropoietin Therapy for Patients With Chronic and Progressive Diabetic Macular Edema
xu guoxu	China:Soochow Univ, Affiliated Hosp 2, Dept Ophthalmol, Suzhou,Peoples R China. Suzhou University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Subretinal Delivery of AAV2-Mediated Human Erythropoietin Gene Is Protective and Safe in Experimental Diabetic Retinopathy
xu hanmei	China:China Pharmaceut Univ, Dept Marine Pharm, Coll Life Sci & Technol, Nanjing 210009, Jiangsu,Peoples R China. China Pharmaceutical University	CURRENT EYE RESEARCH	Pharmacokinetics of HM-3 After Intravitreal Administration in Mice
xu hua	China:Tongji Univ, Sch Med, Dept Ophthalmol, Shanghai Peoples Hosp10, Shanghai 200092,Peoples R China. Tongji University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Subretinal Delivery of AAV2-Mediated Human Erythropoietin Gene Is Protective and Safe in Experimental Diabetic Retinopathy
xu huizhuo	China:Cent S Univ, Dept Ophthalmol, Xiangya Hosp, Changsha 410008, Hunan,Peoples R China. Central South University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Caveolin-1 expression regulates blood-retinal barrier permeability and retinal neovascularization in oxygen-induced retinopathy
xu huizhuo	China:Cent S Univ, Dept Ophthalmol, Xiangya Hosp, Changsha 410008, Hunan,Peoples R China. Central South University	CURRENT EYE RESEARCH	Suppression of Retinal Neovascularization by shRNA Targeting HIF-1 alpha
xu huizhuo	China:Cent S Univ, Dept Ophthalmol, Xiangya Hosp, Changsha 410008, Hunan,Peoples R China. Central South University	OPHTHALMOLOGICA	Suppression of Retinal Neovascularization by Small-Interference RNA Targeting Erythropoietin
xu jingying	China:Tongji Univ, Sch Med, Dept Ophthalmol, Shanghai Peoples Hosp10, Shanghai 200092,Peoples R China. Tongji University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Subretinal Delivery of AAV2-Mediated Human Erythropoietin Gene Is Protective and Safe in Experimental Diabetic Retinopathy
xu jintang	China:Jinan Univ, Dept Ophthalmol, Affiliated Hosp 1, Guangzhou 510630, Guangdong,Peoples R China. Jinan University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Endogenous aspergillus endophthalmitis after kidney transplantation
xu jun	China:Capital Med Univ, Beijing Tongren Eye Ctr, Beijing Tongren Hosp, Beijing Ophthalmol & Visual Sci Key Lab, Beijing 100730,Peoples R China. Capital Medical University	MOLECULAR VISION	R213W mutation in the retinoschisis 1 gene causes X-linked juvenile retinoschisis in a large Chinese family
xu l	China:Capital Univ Med Sci, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	EYE	Prevalence and associations of epiretinal membranes in adult Chinese: the Beijing eye study
xu l	China:Capital Univ Med Sci, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	PLOS ONE	Prevalence and Associations of Incomplete Posterior Vitreous Detachment in Adult Chinese: The Beijing Eye Study
xu l	China:Capital Univ Med Sci, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	OPHTHALMOLOGY	Five-Year Incidence of Age-related Macular Degeneration The Beijing Eye Study
xu l	China:Capital Univ Med Sci, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	INTRAVITREAL CELL-BASED PRODUCTION OF GLUCAGON-LIKE PEPTIDE-1
xu l	China:Capital Univ Med Sci, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	OPHTHALMOLOGY	Myopic Maculopathy Imaged by Optical Coherence Tomography The Beijing Eye Study
xu l	China:Capital Univ Med Sci, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	OPHTHALMIC SURGERY LASERS & IMAGING	Posterior Vitreous Contraction After Cerebral Sinus Thrombosis
xu lingjuan	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	Prophylactic Effect of Topical Fluoroquinolones in a Rabbit Model of Staphylococcus aureus Endophthalmitis
xu m	China:Hosp Eye, Wenzhou Med Coll, State Key Lab Cultivat Base, China Natl Optometry Ctr, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	EUROPEAN JOURNAL OF OPHTHALMOLOGY	Clinical complications of combined phacoemulsification and vitrectomy for eyes with coexisting cataract and vitreoretinal diseases
xu m	China:Hosp Eye, Wenzhou Med Coll, State Key Lab Cultivat Base, China Natl Optometry Ctr, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Anterior segment complications after phacoemulsification combined vitrectomy and foldable intraocular lens implantation
xu m	China:Hosp Eye, Wenzhou Med Coll, State Key Lab Cultivat Base, China Natl Optometry Ctr, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	ACTA OPHTHALMOLOGICA	Longterm results after phacovitrectomy and foldable intraocular lens implantation
xu nuo	China:Fujian Prov Hosp, Dept Ophthalmol, Fujian Prov Clin Coll Med, Fuzhou,Peoples R China. 	PLOS ONE	Comprehensive Analysis of Inflammatory Immune Mediators of the Intraocular Fluid Aspirated from the Foldable Capsular Vitreous Body Filled-Eyes
xu s	China:Jilin Univ, Hosp 2, Dept Ophthalmol, Changchun 130021,Peoples R China. Jilin University	EYE	Determination of visual prognosis in children with open globe injuries
xu weiqi	China:Shanghai Jiao Tong Univ, Affiliated Peoples Hosp 1, Dept Ophthalmol, Shanghai 200080,Peoples R China. Shanghai Jiao Tong University	OPHTHALMOLOGICA	Nerve growth factor helps protect retina in experimental retinal detachment
xu weiwei	China:Chinese Peoples Liberat Army PLA Gen Hosp, Dept Ophthalmol, Beijing 100853,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Cyclopexy versus vitrectomy combined with intraocular tamponade for treatment of cyclodialysis
xu xiaolin	China:Harbin Med Coll, Affiliated Hosp 1, Dept Ophthalmol, Harbin 150001, Heilongjiang Pr,Peoples R China. Harbin Medical University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Effect of menthol on ocular drug delivery
xu xun	China:Affiliated Shanghai Jiaotong Univ, Dept Ophthalmol, Shanghai Peoples Hosp 1, Shanghai,Peoples R China. Shanghai Jiao Tong University	PLOS ONE	Prevalence and Risk Factors of Idiopathic Epiretinal Membranes in Beixinjing Blocks, Shanghai, China
xu xun	China:Affiliated Shanghai Jiaotong Univ, Dept Ophthalmol, Shanghai Peoples Hosp 1, Shanghai,Peoples R China. Shanghai Jiao Tong University	OPHTHALMOLOGICA	Nerve growth factor helps protect retina in experimental retinal detachment
xu xun	China:Affiliated Shanghai Jiaotong Univ, Dept Ophthalmol, Shanghai Peoples Hosp 1, Shanghai,Peoples R China. Shanghai Jiao Tong University	OPHTHALMOLOGICA	The status of diabetic retinopathy and diabetic macular edema in patients with type 2 diabetes: A survey from Beixinjing District of Shanghai city in China
xu xun	China:Affiliated Shanghai Jiaotong Univ, Dept Ophthalmol, Shanghai Peoples Hosp 1, Shanghai,Peoples R China. Shanghai Jiao Tong University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Correlation between Ficolin-3 and Vascular Endothelial Growth Factor-to-Pigment Epithelium-Derived Factor Ratio in the Vitreous of Eyes with Proliferative Diabetic Retinopathy
xu xun	China:Affiliated Shanghai Jiaotong Univ, Dept Ophthalmol, Shanghai Peoples Hosp 1, Shanghai,Peoples R China. Shanghai Jiao Tong University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Inhibition of Pathologic Retinal Neovascularization by a Small Peptide Derived from Human Apolipoprotein(a)
xu xun	China:Affiliated Shanghai Jiaotong Univ, Dept Ophthalmol, Shanghai Peoples Hosp 1, Shanghai,Peoples R China. Shanghai Jiao Tong University	MOLECULAR VISION	A novel antiangiogenic peptide derived from hepatocyte growth factor inhibits neovascularization in vitro and in vivo
xu xun	China:Affiliated Shanghai Jiaotong Univ, Dept Ophthalmol, Shanghai Peoples Hosp 1, Shanghai,Peoples R China. Shanghai Jiao Tong University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Anti-inflammatory and Antiangiogenic Effects of Nanoparticle-Mediated Delivery of a Natural Angiogenic Inhibitor
xu xun	China:Affiliated Shanghai Jiaotong Univ, Dept Ophthalmol, Shanghai Peoples Hosp 1, Shanghai,Peoples R China. Shanghai Jiao Tong University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Vitrectomy With or Without Preoperative Intravitreal Bevacizumab for Proliferative Diabetic Retinopathy: A Meta-Analysis of Randomized Controlled Trials
xu xun	China:Affiliated Shanghai Jiaotong Univ, Dept Ophthalmol, Shanghai Peoples Hosp 1, Shanghai,Peoples R China. Shanghai Jiao Tong University	OPHTHALMOLOGY	Acute Intraocular Inflammation Caused by Endotoxin after Intravitreal Injection of Counterfeit Bevacizumab in Shanghai, China
xu ya	China:Wuhan Univ, Renmin Hosp, Dept Ophthalmol, Wuhan 430072,Peoples R China. Wuhan University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	SUPRACHOROIDAL HEMORRHAGE DURING PARS PLANA VITRECTOMY IN TRAUMATIZED EYES
xu yanjiao	China:Shandong Univ Tradit Chinese Med, Affiliated Eye Hosp, Jinan,Peoples R China. 	OPTOMETRY AND VISION SCIENCE	Utility Values among Myopic Patients in Mainland China
xu yi	China:Shanghai Jiao Tong Univ, Dept Ophthalmol, Shanghai Peoples Hosp 1, Shanghai 200080,Peoples R China. Shanghai Jiao Tong University	MOLECULAR VISION	A novel antiangiogenic peptide derived from hepatocyte growth factor inhibits neovascularization in vitro and in vivo
xu yimin	China:Peking Univ, Hosp 3, Dept Ophthalmol, Beijing 100871,Peoples R China. Peking University	CURRENT EYE RESEARCH	Changes in Adrenomedullin in Patients with Proliferative Diabetic Retinopathy
xu yinghai	China:Tianjin Med Univ, Gen Hosp, Dept Ophthalmol, Tianjin 300052,Peoples R China. Tianjin Medical University	CURRENT EYE RESEARCH	Reasons for and Management of Postvitrectomy Vitreous Hemorrhage in Proliferative Diabetic Retinopathy
