abdulhalim sancar	China:Wuhan Univ, Dept Ophthalmol, Zhongnan Hosp, Wuhan 430072, Hubei,Peoples R China. Wuhan University	PLOS ONE	Anti-VEGF Agents with or without Antimetabolites in Trabeculectomy for Glaucoma: A Meta-Analysis
yang jiangang	China:Xi An Jiao Tong Univ, Dept Ophthalmol, Affiliated Hosp 2, Sch Med, Xian 710049, Shaanxi,Peoples R China. Xian Jiaotong University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Overexpression of CDKN1B Inhibits Fibroblast Proliferation in a Rabbit Model of Experimental Glaucoma Filtration Surgery
yang jie	China:Capital Med Univ, Beijing Xuanwu Hosp, Dept Vasc Ultrasonag, Beijing 100730,Peoples R China. Capital Medical University	OPHTHALMOLOGY	Reduced Cerebrovascular Reactivity in Posterior Cerebral Arteries in Patients with Primary Open-Angle Glaucoma
yang jiumin	China:Tianjin Med Univ, Laser Med Lab, Tianjin 300070,Peoples R China. Tianjin Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Effect of CO2 laser sclerectomy with iridectomy on ocular hypertension in rabbits
yang jiyun	China:Sichuan Acad Med Sci, Chengdu 617002, Sichuan,Peoples R China. 	MOLECULAR VISION	A genome-wide scan maps a novel autosomal dominant juvenile-onset open-angle glaucoma locus to 2p15-16
yang jun	China:First Peoples Hosp Yunnan Prov, Dept Ophthalmol, Kunming, Yunnan Province,Peoples R China. 	CUTANEOUS AND OCULAR TOXICOLOGY	Prognosis of corneal wasp sting: case report and review of the literature
yang jun	China:Hangzhou Normal Univ, Sch Publ Hlth, Dept Toxicol, Hangzhou 310036, Zhejiang,Peoples R China. Hangzhou Normal University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Role of benzalkonium chloride in DNA strand breaks in human corneal epithelial cells
yang lexin	China:Lanzhou Univ, Hosp 2, Dept Ophthalmol, Lanzhou 730000, Gansu,Peoples R China. Lanzhou University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Surgical treatment for primary angle closure - glaucoma: a Meta analysis
yang liu	China:Capital Med Univ, Beijing Tiantan Hosp, Beijing,Peoples R China. Capital Medical University	ACTA OPHTHALMOLOGICA	Glaucoma-like optic neuropathy in patients with intracranial tumours
yang mei	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Investigation of CYP1B1 mutations in Chinese patients with primary congenital glaucoma
yang min	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Inflammation-Related Cytokines of Aqueous Humor in Acute Primary Angle-Closure Eyes
yang ming	China:Capital Med Univ, Beijing Tongren Hosp, Beijing,Peoples R China. Capital Medical University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Visual Acuity and Subfoveal Choroidal Thickness: The Beijing Eye Study
yang peizeng	China:Chongqing Med Univ, Affiliated Hosp 1, Chongqing Eye Inst, Chongqing Key Lab Ophthalmol, Chongqing 400016,Peoples R China. Chongqing Medical University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Vogt-Koyanagi-Harada disease presenting as acute angle closure glaucoma at onset
yang peizeng	China:Chongqing Med Univ, Affiliated Hosp 1, Chongqing Eye Inst, Chongqing Key Lab Ophthalmol, Chongqing 400016,Peoples R China. Chongqing Medical University	CORNEA	Band-Shaped Keratopathy in Chinese Patients With Vogt-Koyanagi-Harada Syndrome
yang qi	China:Peking Univ, Shenzhen Hosp, Dept Ophthalmol, Shenzhen 518036, Guangdong,Peoples R China. Peking University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Experimental study of TGF-beta 2 antisense oligodeoxynucleotide as an anti- scarring agent in glaucoma surgery
yang qiang	China:Harvard Univ, Sch Med, Schepens Eye Res Inst, Dept Ophthalmol, Boston, MA 02114 USA. Harvard University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Microbead-Induced Ocular Hypertensive Mouse Model for Screening and Testing of Aqueous Production Suppressants for Glaucoma
yang qiaona	China:Sichuan Univ, West China Hosp, Translat Neurosci Ctr, State Key Lab Biotherapy, Chengdu 610064,Peoples R China. Sichuan University	EXPERIMENTAL EYE RESEARCH	Neuroprotective effects of C3 exoenzyme in excitotoxic retinopathy
yang qingfang	China:NW Polytech Univ, Xian 710072, Shanxi,Peoples R China. Northwestern Polytechnic University - China	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Biocompatibility and retinal support of a foldable capsular vitreous body injected with saline or silicone oil implanted in rabbit eyes
yang rui	China:Xi An Jiao Tong Univ, Dept Ophthalmol, Affiliated Hosp 2, Sch Med, Xian 710049, Shaanxi,Peoples R China. Xian Jiaotong University	CURRENT EYE RESEARCH	Effect of Moxonidine on the Uveoscleral Outflow: Role of 2-Adrenoceptors or I1 Imidazoline Receptors
yang shasha	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Sodium Hyaluronate Decreases Ocular Surface Toxicity Induced by Benzalkonium Chloride-Preserved Latanoprost: An In Vivo Study
yang wanju	China:Cent Hosp Wuhan, Dept Ophthalmol, Wuhan, Hebei,Peoples R China. 	PLOS ONE	Retinal Nerve Fiber Layer Thickness Changes in Parkinson Disease: A Meta-Analysis
yang xiaohui	China:Capital Med Univ, Beijing Tongren Eye Ctr, Beijing Tongren Hosp, Beijing Ophthalmol & Visual Sci Key Lab, Beijing 100730,Peoples R China. Capital Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Prevalence and Characteristics of Primary Angle-Closure Diseases in a Rural Adult Chinese Population: The Handan Eye Study
yang xiaohui	China:Capital Med Univ, Beijing Tongren Eye Ctr, Beijing Tongren Hosp, Beijing Ophthalmol & Visual Sci Key Lab, Beijing 100730,Peoples R China. Capital Medical University	OPHTHALMIC EPIDEMIOLOGY	Eye Care Use Among Rural Adults in China: The Handan Eye Study
yang xiaohui	China:Capital Med Univ, Beijing Tongren Eye Ctr, Beijing Tongren Hosp, Beijing Ophthalmol & Visual Sci Key Lab, Beijing 100730,Peoples R China. Capital Medical University	OPHTHALMIC EPIDEMIOLOGY	Intraocular Pressure and its Relationship to Ocular and Systemic Factors in a Healthy Chinese Rural Population: The Handan Eye Study
yang xiaohui	China:Capital Med Univ, Beijing Tongren Eye Ctr, Beijing Tongren Hosp, Beijing Ophthalmol & Visual Sci Key Lab, Beijing 100730,Peoples R China. Capital Medical University	OPHTHALMOLOGY	Prevalence and Causes of Low Vision and Blindness in a Rural Chinese Adult Population The Handan Eye Study
yang xiaohui	China:Capital Med Univ, Beijing Tongren Eye Ctr, Beijing Tongren Hosp, Beijing Ophthalmol & Visual Sci Key Lab, Beijing 100730,Peoples R China. Capital Medical University	OPHTHALMIC EPIDEMIOLOGY	The epidemiology of age-related eye diseases in Mainland China
yang xiaohui	China:Capital Med Univ, Beijing Tongren Eye Ctr, Beijing Tongren Hosp, Beijing Ophthalmol & Visual Sci Key Lab, Beijing 100730,Peoples R China. Capital Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Prevalence of Primary Open Angle Glaucoma in a Rural Adult Chinese Population: The Handan Eye Study
yang xiaobo	China:Huazhong Univ Sci & Technol, Tongji Med Coll, Union Hosp, Dept Ophthalmol, Wuhan 430022, Hubei Province,Peoples R China. Huazhong University of Science & Technology	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	External sclerostomy with the femtosecond laser versus a surgical knife in rabbits
yang xinguang	China:Xi An Jiao Tong Univ, Sch Med, Xian 710049, Shaanxi,Peoples R China. Xian Jiaotong University	EXPERIMENTAL EYE RESEARCH	Crocin prevents retinal ischaemia/reperfusion injury-induced apoptosis in retinal ganglion cells through the PI3K/AKT signalling pathway
yang xinjun	China:Hosp Eye, Wenzhou Med Coll, Wenzhou 325003, Zhejiang,Peoples R China. Wenzhou Medical University	JOURNAL OF GLAUCOMA	Endoscopically Controlled Goniosynechialysis in Managing Synechial Angle-closure Glaucoma
yang xiong	China:Tianjin Med Univ, Hosp 2, Tianjin,Peoples R China. Tianjin Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Association of TP53 Polymorphisms with Primary Open-Angle Glaucoma: A Meta-Analysis
yang xiong	China:Tianjin Med Univ, Hosp 2, Tianjin,Peoples R China. Tianjin Medical University	PLOS ONE	Association of OPA1 Polymorphisms with NTG and HTG: A Meta-Analysis
yang xuejiao	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Elevated pressure downregulates ZO-1 expression and disrupts cytoskeleton and focal adhesion in human trabecular meshwork cells
yang xueqiu	China:Shangdong Acad Med Sci, Shandong Eye Hosp, Shandong Eye Inst, Jinan 250021, Shandong,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Peripapillary retinal nerve fiber layer thickness distribution in Chinese with myopia measured by 3D-optical coherence tomography
yang yanfang	China:Peking Univ, Hosp 3, Ctr Eye, Beijing 100083,Peoples R China. Peking University	JOURNAL OF GLAUCOMA	Potential of Stratus Optical Coherence Tomography for Detecting Early Glaucoma in Perimetrically Normal Eyes of Open-angle Glaucoma Patients With Unilateral Visual Field Loss
yang yang	China:China Med Univ, Shengjing Hosp, Dept Ophthalmol, Shenyang 110004, Liaoning Prov,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Effect of erythropoietin on the expression of HIF-1 and iNOS in retina in chronic ocular hypertension rats
yang yang	China:China Med Univ, Shengjing Hosp, Dept Ophthalmol, Shenyang 110004, Liaoning Prov,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Effect of aminoguanidine on caspase-3 expression in rat retina after ischemia-reperfusion injury
yang yang	China:China Med Univ, Shengjing Hosp, Dept Ophthalmol, Shenyang 110004, Liaoning Prov,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	IOP-lowering effects for the application of human umbilical vein in non-penetrating deep sclerostomy in rabbits
yang yang	China:Chongqing Med Univ, Chongqing Key Lab Ophthalmol, Chongqing Eye Inst, Dept Ophthalmol,Affiliated Hosp 1, Chongqing 400016,Peoples R China. Chongqing Medical University	MOLECULAR VISION	Decrease in retinal neuronal cells in streptozotocin-induced diabetic mice
yang yang	China:Sichuan Acad Med Sci, Chengdu 617002, Sichuan,Peoples R China. 	MOLECULAR VISION	A genome-wide scan maps a novel autosomal dominant juvenile-onset open-angle glaucoma locus to 2p15-16
yang yangfan	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	Cytochrome Oxidase 2D6 Gene Polymorphism in Primary Open-Angle Glaucoma With Various Effects to Ophthalmic Timolol
yang yingxin	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing 100730,Peoples R China. Capital Medical University	JOURNAL OF GLAUCOMA	Intraocular Pressure Fluctuation in Patients With Primary Open-angle Glaucoma Combined With High Myopia
yang yongming	China:Kunming Med Univ, Affiliated Hosp 1, Kunming,Peoples R China. Kunming Medical University	PLOS ONE	Prevalence and Outcomes of Cataract Surgery in Adult Rural Chinese Populations of the Bai Nationality in Dali: The Yunnan Minority Eye Study
yang yuxia	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, Dept Glaucoma, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Inhibition of p38 mitogen-activated protein kinase phosphorylation decrease tert-butyl hydroperoxide-induced apoptosis in human trabecular meshwork cells
yang zhihao	China:Jinan Univ, Affiliated Hosp 1, Dept Ophthalmol, Guangzhou 510632, Guangdong,Peoples R China. Jinan University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Comparison of trabeculectomy and trabeculectomy with amniotic membrane transplantation in the same patient with bilateral glaucoma
yang zhikuan	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Evaluation of MFRP as a candidate gene for high hyperopia
yang zhikuan	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Evaluation of PRSS56 in Chinese subjects with high hyperopia or primary angle-closure glaucoma
yang zhirong	China:Peking Univ, Dept Epidemiol & Hlth Stat, Sch Publ Hlth, Beijing 100871,Peoples R China. Peking University	PLOS ONE	Meta-Analysis of Randomized Controlled Trials Comparing Latanoprost with Timolol in the Treatment of Asian Populations with Chronic Angle-Closure Glaucoma
yang zhou	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing,Peoples R China. Capital Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Retinal Nerve Fiber Layer Thickness in a Population of 12-Year-Old Children in Central China Measured by iVue-100 Spectral-Domain Optical Coherence Tomography: The Anyang Childhood Eye Study
yao baoqun	China:Tianjin Med Univ, Gen Hosp, Dept Ophthalmol, Tianjin,Peoples R China. Tianjin Medical University	OPHTHALMOLOGY	Ultrasound Biomicroscopic Features Associated with Angle Closure in Fellow Eyes of Acute Primary Angle Closure after Laser Iridotomy
yao jing	China:Fudan Univ, EENT Hosp, Dept Ophthalmol, Shanghai 200031,Peoples R China. Fudan University	OPHTHALMOLOGICA	Effects of Combined Phacoemulsification and Viscogoniosynechialysis versus Trabeculectomy in Patients with Primary Angle-Closure Glaucoma and Coexisting Cataract
yao jing	China:Fudan Univ, EENT Hosp, Dept Ophthalmol, Shanghai 200031,Peoples R China. Fudan University	OCULAR IMMUNOLOGY AND INFLAMMATION	Bilateral Acute Angle Closure Glaucoma as a Presentation of Vogt-Koyanagi-Harada Syndrome in Four Chinese Patients: A Small Case Series
yao ke	China:Zhe Jiang Univ, Hosp 2, Hangzhou, Zhejiang,Peoples R China. Zhejiang University	BMC OPHTHALMOLOGY	Comparative efficacy and safety of the fixed versus unfixed combination of latanoprost and timolol in Chinese patients with open-angle glaucoma or ocular hypertension
yao ke	China:Zhe Jiang Univ, Hosp 2, Hangzhou, Zhejiang,Peoples R China. Zhejiang University	JOURNAL OF GLAUCOMA	Microcoaxial Phacoemulsification Combined With Viscogoniosynechialysis for Patients With Refractory Acute Angle-closure Glaucoma
yao ke	China:Zhe Jiang Univ, Hosp 2, Hangzhou, Zhejiang,Peoples R China. Zhejiang University	MOLECULAR VISION	A recurrent PAX6 mutation is associated with aniridia and congenital progressive cataract in a Chinese family
yao ke	China:Zhe Jiang Univ, Hosp 2, Hangzhou, Zhejiang,Peoples R China. Zhejiang University	BMC OPHTHALMOLOGY	Intraocular pressure-lowering efficacy and safety of bimatoprost 0.03% therapy for primary open-angle glaucoma and ocular hypertension patients in China
yao ke	China:Zhe Jiang Univ, Hosp 2, Hangzhou, Zhejiang,Peoples R China. Zhejiang University	PLOS ONE	Association of Glutathione S transferases Polymorphisms with Glaucoma: A Meta-Analysis
yao ke	China:Zhe Jiang Univ, Hosp 2, Hangzhou, Zhejiang,Peoples R China. Zhejiang University	CANADIAN JOURNAL OF OPHTHALMOLOGY-JOURNAL CANADIEN D OPHTALMOLOGIE	Change in outflow pathway of porcine eyes in vitro by nonpenetrating filtering surgery
yao ke	China:Zhe Jiang Univ, Hosp 2, Hangzhou, Zhejiang,Peoples R China. Zhejiang University	JOURNAL OF CATARACT AND REFRACTIVE SURGERY	Ultrasound biomicroscopy in pupillary block glaucoma secondary to ophthalmic viscosurgical device remnants in the posterior chamber after anterior chamber phakic intraocular lens implantation
yao lin	China:Qingdao Univ, Affiliated Hosp, Coll Med, Dept Ophthalmol, Qingdao 266003,Peoples R China. Qingdao University	EUROPEAN JOURNAL OF OPHTHALMOLOGY	Causes and treatments of traumatic secondary glaucoma
yao lin	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	EUROPEAN JOURNAL OF OPHTHALMOLOGY	Visual outcome following intraocular foreign bodies: a retrospective review of 5-year clinical experience
yao yong	China:Nanjing Med Univ, Wuxi Peoples Hosp, Dept Ophthalmol, Wuxi 214000,Peoples R China. Nanjing Medical University	OPHTHALMIC RESEARCH	A Detailed Meta-Analysis Shows No Association between TNF-alpha-308G/A Polymorphism and Different Forms of Glaucoma
ye chengtian	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	A rabbit dry eye model induced by topical medication of a preservative benzalkonium chloride
ye cong	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	An Ultra-High-Speed Scheimpflug Camera for Evaluation of Corneal Deformation Response and Its Impact on IOP Measurement
ye cong	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Comparison of Standard Automated Perimetry, Frequency-Doubling Technology Perimetry, and Short-Wavelength Automated Perimetry for Detection of Glaucoma
ye cong	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Computer Simulation of Progressive Retinal Nerve Fiber Layer Loss in Glaucoma: Performance of Event and Trend Analyses
ye cong	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Noninvasive Measurement of Scleral Stiffness and Tangent Modulus in Porcine Eyes
ye cong	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Retinal Nerve Fiber Layer Imaging with Spectral-Domain Optical Coherence Tomography: Interpreting the RNFL Maps in Healthy Myopic Eyes
ye cong	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Tracking Dendritic Shrinkage of Retinal Ganglion Cells after Acute Elevation of Intraocular Pressure
ye cong	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	OPHTHALMOLOGY	Comparison of Retinal Nerve Fiber Layer Imaging by Spectral Domain Optical Coherence Tomography and Scanning Laser Ophthalmoscopy
ye cong	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	OPHTHALMOLOGY	Evaluation of Retinal Nerve Fiber Layer Progression in Glaucoma A Comparison between Spectral-Domain and Time-Domain Optical Coherence Tomography
ye cong	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	OPHTHALMOLOGY	Evaluation of Retinal Nerve Fiber Layer Progression in Glaucoma A Prospective Analysis with Neuroretinal Rim and Visual Field Progression
ye cong	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	OPHTHALMOLOGY	Impact of Age-related Change of Retinal Nerve Fiber Layer and Macular Thicknesses on Evaluation of Glaucoma Progression
ye cong	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	OPHTHALMOLOGY	Retinal Nerve Fiber Layer Imaging with Spectral-Domain Optical Coherence Tomography A Prospective Analysis of Age-Related Loss
ye cong	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	OPHTHALMOLOGY	Retinal Nerve Fiber Layer Imaging with Spectral-Domain Optical Coherence Tomography Analysis of the Retinal Nerve Fiber Layer Map for Glaucoma Detection
ye cong	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	OPHTHALMOLOGY	Retinal Nerve Fiber Layer Imaging with Spectral-Domain Optical Coherence Tomography Pattern of RNFL Defects in Glaucoma
ye cong	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	JOURNAL OF GLAUCOMA	Retinal Nerve Fiber Layer Imaging With Spectral-domain Optical Coherence Tomography: Effect of Multiple B-Scan Averaging on RNFL Measurement
ye cong	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	OPHTHALMOLOGY	Evaluation of Retinal Nerve Fiber Layer Progression in Glaucoma A Comparison between the Fast and the Regular Retinal Nerve Fiber Layer Scans
ye cong	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	OPHTHALMOLOGY	Optic Disc Imaging with Spectral-Domain Optical Coherence Tomography Variability and Agreement Study with Heidelberg Retinal Tomograph
ye cong	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	OPHTHALMOLOGY	Retinal Nerve Fiber Layer Imaging with Spectral-Domain Optical Coherence Tomography A Study on Diagnostic Agreement with Heidelberg Retinal Tomograph
ye cong	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	JOURNAL OF GLAUCOMA	Anterior Chamber Angle Imaging With Swept-Source Optical Coherence Tomography: Detecting the Scleral Spur, Schwalbe's Line, and Schlemm's Canal
ye hehua	China:Fudan Univ, Dept Ophthalmol, Eye & ENT Hosp, Shanghai 200031,Peoples R China. Fudan University	EUROPEAN JOURNAL OF OPHTHALMOLOGY	Bleb-associated endophthalmitis in a Chinese population (2003-2010): clinical characteristics and visual outcome
ye hehua	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Cationic nano-copolymers mediated IKK beta targeting siRNA inhibit the proliferation of human Tenon's capsule fibroblasts in vitro
ye hehua	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Cationic nano-copolymers mediated IKK beta targeting siRNA to modulate wound healing in a monkey model of glaucoma filtration surgery
ye huijing	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	CURRENT EYE RESEARCH	Vision-Related Quality of Life Tends to be More Severely Impaired in Patients with Dysthyroid Optic Neuropathy
ye jian	China:Third Mil Med Univ, Daping Hosp, Dept Ophthalmol, Inst Surg Res, Chongqing 400042,Peoples R China. Third Military Medical University	OPHTHALMIC RESEARCH	Gene Expression Profile Determination in Rat Retinal Tissue after Ocular Hypertension through Oligo Microarray
ye jian	China:Third Mil Med Univ, Daping Hosp, Dept Ophthalmol, Inst Surg Res, Chongqing 400042,Peoples R China. Third Military Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	A case of circumscribed choroidal hemangioma in Sturge-Weber syndrome in China
ye juan	China:Zhejiang Univ, Sch Med, Affiliated Hosp 2, Dept Ophthalmol, Hangzhou 310009, Zhejiang,Peoples R China. Zhejiang University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Role of benzalkonium chloride in DNA strand breaks in human corneal epithelial cells
ye minjie	China:Anhui Med Univ, Affiliated Hosp 1, Dept Ophthalmol, Hefei 230032, Anhui,Peoples R China. Anhui Medical University	MOLECULAR VISION	An updated meta-analysis: Apolipoprotein E genotypes and risk of primary open-angle glaucoma
ye panpan	China:Zhejiang Univ, Sch Med, Affiliated Hosp 2, Ctr Eye, Hangzhou 310009, Zhejiang,Peoples R China. Zhejiang University	CANADIAN JOURNAL OF OPHTHALMOLOGY-JOURNAL CANADIEN D OPHTALMOLOGIE	Change in outflow pathway of porcine eyes in vitro by nonpenetrating filtering surgery
ye ping	China:Chinese Peoples Liberat Army Gen Hosp, Dept Geriatr Cardiol, Beijing,Peoples R China. 	CLINICAL AND EXPERIMENTAL OPTOMETRY	Preliminary clinical analysis of neovascular glaucoma secondary to carotid artery disease
ye ronghua	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Anticipation, anti-glaucoma drug treatment response and phenotype of a Chinese family with glaucoma caused by the Pro370Leu myocilin mutation
ye ronghua	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Visual outcomes of cataract surgery performed by supervised novice surgeons during training in rural China
ye tiancai	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Secondary glaucoma with copper deposition in trabecular meshwork in Wilson disease
ye tiancai	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	JOURNAL OF GLAUCOMA	Histologic changes of the iris in the development of angle closure in Chinese eyes
ye wen	China:Fudan Univ, Huashan Hosp, Dept Ophthalmol, Shanghai 200040,Peoples R China. Fudan University	CURRENT EYE RESEARCH	Functional Characteristics of Connective Tissue Growth Factor on Human Tenon's Capsule Fibroblast
ye wen	China:Fudan Univ, Huashan Hosp, Dept Ophthalmol, Shanghai 200040,Peoples R China. Fudan University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Protective Effect of Pioglitazone on Retinal Ischemia/Reperfusion Injury in Rats
ye wen	China:Fudan Univ, Huashan Hosp, Dept Ophthalmol, Shanghai 200040,Peoples R China. Fudan University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	SB-431542 Inhibition of Scar Formation after Filtration Surgery and Its Potential Mechanism
ye xinhai	China:Tongji Unnivers, Shanghai Peoples Hosp 10, Dept Plast Surg, Shanghai,Peoples R China. 	MOLECULAR VISION	Acid-sensing ion channel 1a is involved in retinal ganglion cell death induced by hypoxia
