adan alfredo	China:Chinese Univ Hong Kong, Dept Ophthalmol, Hong Kong Sanat & Hosp, Happy Valley, Hong Kong,Peoples R China. Chinese University of Hong Kong	AMERICAN JOURNAL OF OPHTHALMOLOGY	Long-term Visual Outcomes of Intravitreal Bevacizumab in Inflammatory Ocular Neovascularization
yang fei	China:Peking Univ Peoples Hosp, Dept Ophthalmol, Minist Educ, Key Lab Vis Loss & Restorat, Beijing 100044,Peoples R China. Peking University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Effects of Semaphorin 3A on Retinal Pigment Epithelial Cell Activity
yang fei	China:Peking Univ Peoples Hosp, Dept Ophthalmol, Minist Educ, Key Lab Vis Loss & Restorat, Beijing 100044,Peoples R China. Peking University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Different Hereditary Contribution of the CFH Gene Between Polypoidal Choroidal Vasculopathy and Age-Related Macular Degeneration in Chinese Han People
yang fei	China:Peking Univ Peoples Hosp, Dept Ophthalmol, Minist Educ, Key Lab Vis Loss & Restorat, Beijing 100044,Peoples R China. Peking University	OPHTHALMOLOGICA	Complement Factor I Polymorphism Is Not Associated with Neovascular Age-Related Macular Degeneration and Polypoidal Choroidal Vasculopathy in a Chinese Population
yang fei	China:Peking Univ, Peoples Hosp, Dept Ophthalmol, Beijing 100871,Peoples R China. Peking University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	TNFRSF10A-LOC389641 rs13278062 But Not REST-C4orf14-POLR2B-IGFBP7 rs1713985 Was Found Associated With Age-Related Macular Degeneration in a Chinese Population
yang feng	China:Wenzhou Med Univ, Sch Optometry & Ophthalmol, Wenzhou, Zhejiang,Peoples R China. Wenzhou Medical University	JOURNAL OF CATARACT AND REFRACTIVE SURGERY	Cross-cultural validation of the National Eye Institute Visual Function Questionnaire
yang fuquan	China:Capital Univ Med Sci, Beijing Tongren Hosp, Dept Opthalmol, Beijing,Peoples R China. Capital Medical University	MOLECULAR VISION	Proteomic analysis of aqueous humor from patients with myopia
yang guodong	China:Fourth Mil Med Univ, Dept Biochem & Mol Biol, State Key Lab Canc Biol, Xian 710032, Shaanxi Provinc,Peoples R China. Fourth Military Medical University	EXPERIMENTAL EYE RESEARCH	Hyperglycemia promotes vasculogenesis in choroidal neovascularization in diabetic mice by stimulating VEGF and SDF-1 expression in retinal pigment epithelial cells
yang guoxing	China:Chinese Acad Med Sci, Peking Union Med Coll Hosp, Dept Ophthalmol, Beijing 100730,Peoples R China. Chinese Academy of Medical Sciences - Peking Union Medical College	MOLECULAR VISION	Spectrum of rhodopsin gene mutations in Chinese patients with retinitis pigmentosa
yang h	China:Tongren Hosp, Dept Ophthalmol, Beijing,Peoples R China. 	EYE	Peripapillary atrophy in elderly Chinese in rural and urban Beijing
yang haojiang	China:Shenzhen Second Peoples Hosp, Dept Ophthalmol, Shenzhen 518035, Guangdong,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Mechanism of angiostatin induced reduction of vascular leakage in retina and iris of rats with retinopathy of prematurity
yang hong	China:Huazhong Univ Sci & Technol, Dept Ophthalmol, Tongji Hosp, Tongji Med Coll, Wuhan, Hubei Province,Peoples R China. Huazhong University of Science & Technology	MOLECULAR VISION	Functional characterization of 58-kilodalton inhibitor of protein kinase in protecting against diabetic retinopathy via the endoplasmic reticulum stress pathway
yang hong	China:Huazhong Univ Sci & Technol, Dept Ophthalmol, Tongji Hosp, Tongji Med Coll, Wuhan, Hubei Province,Peoples R China. Huazhong University of Science & Technology	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Feasibility study of chitosan as intravitreous tamponade material
yang hong	China:Third Mil Med Univ, SW Eye Hosp, Southwest Hosp, Chongqing 400038,Peoples R China. Third Military Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Spectral -domain optical coherence tomography in patients with congenital nystagmus
yang hongwei	China:China Med Univ, Affiliated Shengjing Hosp, Dept Ophthalmol, Shenyang 110004, Liaoning Prov,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	CTGFsiRNA ameliorates retinal cells apoptosis in streptozotocin-induced diabetic rats
yang hongwei	China:China Med Univ, Affiliated Shengjing Hosp, Dept Ophthalmol, Shenyang 110004, Liaoning Prov,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Effect of aminoguanidine on caspase-3 expression in rat retina after ischemia-reperfusion injury
yang hongwei	China:China Med Univ, Shengjing Affiliated Hosp, Dept Ophthalmol, Shenyang 110004,Peoples R China. China Medical University	ACTA OPHTHALMOLOGICA	The role of CTGF in the diabetic rat retina and its relationship with VEGF and TGF-beta(2), elucidated by treatment with CTGFsiRNA
yang hongwei	China:China Med Univ, Shengjing Affiliated Hosp, Dept Ophthalmol, Shenyang,Peoples R China. China Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Neuroprotective Effects of Angiotensin II Type 1 Receptor Blocker in a Rat Model of Chronic Glaucoma
yang hongxia	China:Chongqing Med Univ, Affiliated Hosp 1, Chongqing Key Lab Ophthalmol, Chongqing Eye Inst, Chongqing,Peoples R China. Chongqing Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Angiotensin-Converting Enzyme 2 (ACE2) Activator Diminazene Aceturate Ameliorates Endotoxin-Induced Uveitis in Mice
yang hongxia	China:Chongqing Med Univ, Affiliated Hosp 1, Chongqing Key Lab Ophthalmol, Chongqing Eye Inst, Chongqing,Peoples R China. Chongqing Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Activation of Liver X Receptor Alleviates Ocular Inflammation in Experimental Autoimmune Uveitis
yang hua	China:Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	OPHTHALMIC RESEARCH	Retinal findings in Chinese patients with HIV infection
yang hua	China:Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	JOURNAL OF GLAUCOMA	Agreement Between Spectral Domain Optical Coherence Tomography and Retinal Nerve Fiber Layer Photography in Chinese
yang hua	China:Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Prevalence of diabetic retinopathy as cause for visual impairment: the Beijing Public Health Care Project
yang hua	China:Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	PLOS ONE	Dyslipidemia and Eye Diseases in the Adult Chinese Population: The Beijing Eye Study
yang hua	China:Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	PLOS ONE	Prevalence and Associations of Incomplete Posterior Vitreous Detachment in Adult Chinese: The Beijing Eye Study
yang hua	China:Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	ACTA OPHTHALMOLOGICA	Anterior visual pathway assessment by magnetic resonance imaging in normal-pressure glaucoma
yang hua	China:Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	OPHTHALMOLOGY	Five-Year Incidence of Age-related Macular Degeneration The Beijing Eye Study
yang hua	China:Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	OPHTHALMOLOGY	Beijing Eye Public Health Care Project
yang hua	China:Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	PLOS ONE	Ophthalmoscopic Assessment of the Retinal Nerve Fiber Layer. The Beijing Eye Study
yang hua	China:Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	PLOS ONE	Subfoveal Choroidal Thickness and Glaucoma. The Beijing Eye Study 2011
yang hua	China:Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	BRITISH JOURNAL OF OPHTHALMOLOGY	Change in choroidal nevi during a 5-year follow-up study: the Beijing Eye Study
yang hua	China:Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	ACTA OPHTHALMOLOGICA	Optic nerve head morphology in young patients after antiglaucomatous filtering surgery
yang hua	China:Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	PLOS ONE	Snoring and Glaucoma
yang hua	China:Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	BRITISH JOURNAL OF OPHTHALMOLOGY	Frequency and associated factors of structural progression of open-angle glaucoma in the Beijing Eye Study
yang hua	China:Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	OPHTHALMOLOGY	Five-Year Incidence of Retinal Microvascular Abnormalities and Associations with Arterial Hypertension: The Beijing Eye Study 2001/2006
yang hua	China:Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	OPHTHALMOLOGY	Major Eye Diseases and Risk Factors Associated with Systemic Hypertension in an Adult Chinese Population The Beijing Eye Study
yang hua	China:Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	OPHTHALMOLOGY	Pseudoexfoliation: Normative Data and Associations The Beijing Eye Study 2011
yang hua	China:Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	OPHTHALMOLOGY	The 10-Year Incidence and Risk Factors of Retinal Vein Occlusion The Beijing Eye Study
yang huasheng	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	CURRENT EYE RESEARCH	Vision-Related Quality of Life Tends to be More Severely Impaired in Patients with Dysthyroid Optic Neuropathy
yang huiqin	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Molecular analysis of the choroideremia gene related clinical findings in two families with choroideremia
yang huiqin	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Novel TSPAN12 mutations in patients with familial exudative vitreoretinopathy and their associated phenotypes
yang jiangang	China:Xi An Jiao Tong Univ, Grp Ophthalmol Epidemiol Study, Hosp 2, Xian 710004, Shaanxi Prov,Peoples R China. Xian Jiaotong University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Epidemiological investigation on age related macular degeneration in rural area of Shaanxi Province, China
yang jiasong	China:Wenzhou Med Coll, Hosp Eye, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	PI3K-mediated glioprotective effect of epidermal growth factor under oxidative stress conditions
yang jie	China:Hebei Med Univ, Hosp 4, Dept Ophthalmol, Shijiazhuang 050011, Hebei Province,Peoples R China. Hebei Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	MMP-2 gene polymorphisms in type 2 diabetes mellitus diabetic retinopathy
yang jiehua	China:So Med Univ, Nanhai Hosp, Dept Ophthalmol, Foshan,Peoples R China. Southern Medical University - China	CANADIAN JOURNAL OF OPHTHALMOLOGY-JOURNAL CANADIEN D OPHTALMOLOGIE	Chronic phototoxic maculopathy caused by welding arc in occupational welders
yang jin	China:Chengdu Kanghong Biotechnol Co Ltd, Chengdu,Peoples R China. 	MOLECULAR VISION	KH906, a recombinant human VEGF receptor fusion protein, is a new effective topical treatment for corneal neovascularization
yang jin	China:Fudan Univ, Dept Ophthalmol, Eye & ENT Hosp, Shanghai 200031,Peoples R China. Fudan University	MOLECULAR VISION	ATRA enhances the bystander effect of suicide gene therapy driven by the specific promoter LEP 503 in human lens epithelial cells
yang jin	China:Fudan Univ, Dept Ophthalmol, Eye & ENT Hosp, Shanghai 200031,Peoples R China. Fudan University	MOLECULAR VISION	Using HSV-TK/GCV suicide gene therapy to inhibit lens epithelial cell proliferation for treatment of posterior capsular opacification
yang jin	China:Fudan Univ, Dept Ophthalmol, Eye & ENT Hosp, Shanghai 200031,Peoples R China. Fudan University	PLOS ONE	Efficient Generation of Lens Progenitor Cells from Cataract Patient-Specific Induced Pluripotent Stem Cells
yang jing	China:Cent S Univ, Xiangya Hosp, Dept Ophthalmol, Changsha 410008, Hunan,Peoples R China. Central South University	BMC OPHTHALMOLOGY	Expression of netrin-1 receptors in retina of oxygen-induced retinopathy in mice
yang jing	China:Shanghai Jiao Tong Univ, Dept Ophthalmol, Shanghai Peoples Hosp 9, Sch Med, Shanghai 200030,Peoples R China. Shanghai Jiao Tong University	MOLECULAR VISION	Quantitative changes in gene transcription during induction of differentiation in porcine neural progenitor cells
yang jinkui	China:Capital Med Univ, Beijing Tongren Hosp, Dept Endocrinol, Beijing,Peoples R China. Capital Medical University	PLOS ONE	Evaluation for Fasting and 2-hour Glucose and HbA(1)c for Diagnosing Diabetes Based on Prevalence of Retinopathy in a Chinese Population
yang jinnan	China:Xinxiang Med Univ, Dept Pharm, Xinxiang,Peoples R China. 	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	Retina Protective Effect of Acidic Fibroblast Growth Factor after Canceling Its Mitogenic Activity
yang jiwen	China:China Med Univ, Affiliated Hosp 1, Dept Ophthalmol, Shenyang 110001, Liaoning Prov,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	5-hydroxytryptamine level and 5-HT2A receptor mRNA expression in the guinea pigs eyes with spectacle lens-induced myopia
yang jiyun	China:Chinese Acad Sci, Sichuan Translat Res Hosp, Chengdu, Sichuan,Peoples R China. Chinese Academy of Sciences	PLOS ONE	A Novel PRPF31 Mutation in a Large Chinese Family with Autosomal Dominant Retinitis Pigmentosa and Macular Degeneration
yang jun	China:First Peoples Hosp Yunnan Prov, Dept Ophthalmol, Kunming, Yunnan,Peoples R China. 	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Upregulation of stromal cell-derived factor 1 (SDF-1) expression in microvasculature endothelial cells in retinal ischemia-reperfusion injury
yang kangjuan	China:Yanbian Univ, Dept Cell Biol, Yanji,Peoples R China. Yanbian University	MOLECULAR VISION	Novel USH2A compound heterozygous mutations cause RP/USH2 in a Chinese family
yang ke	China:Capital Med Univ, Beijing Tongren Eye Ctr, Beijing Tongren Hosp, Beijing Ophthalmol & Visual Sci Key Lab, Beijing 100730,Peoples R China. Capital Medical University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Association of dilated retinal arteriolar caliber with early age-related macular degeneration: the Handan Eye Study
yang ke	China:Capital Med Univ, Beijing Tongren Eye Ctr, Beijing Tongren Hosp, Beijing Ophthalmol & Visual Sci Key Lab, Beijing 100730,Peoples R China. Capital Medical University	OPHTHALMOLOGY	Prevalence of Age-Related Macular Degeneration in a Rural Chinese Population: The Handan Eye Study
yang ke	China:Peking Univ, Sch Publ Hlth, Dept Epidemiol & Biostat, Beijing 100191,Peoples R China. Peking University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	ASSOCIATIONS BETWEEN CARDIOVASCULAR RISK FACTORS AND EARLY AGE-RELATED MACULAR DEGENERATION IN A RURAL CHINESE ADULT POPULATION
yang ke	China:Peking Univ, Sch Publ Hlth, Dept Epidemiol & Biostat, Beijing 100191,Peoples R China. Peking University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Associations between metabolic syndrome and syndrome components and retinal microvascular signs in a rural Chinese population: the Handan Eye Study
yang lei	China:Hosp Chinese PLA, Ophthalm Ctr, Urumqi 830013, Xinjiang Uygur,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Effects of aminoguanidine on retinal apoptosis in mice with oxygen-induced retinopathy
yang lih	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing Ophthalmol & Visual Sci Key Lab, Beijing 100730,Peoples R China. Capital Medical University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	OPTICAL COHERENCE TOMOGRAPHIC ENHANCED DEPTH IMAGING OF POLYPOIDAL CHOROIDAL VASCULOPATHY
yang lih	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing Ophthalmol & Visual Sci Key Lab, Beijing 100730,Peoples R China. Capital Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Reproducibility of Subfoveal Choroidal Thickness Measurements with Enhanced Depth Imaging by Spectral-Domain Optical Coherence Tomography
yang lih	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing Ophthalmol & Visual Sci Key Lab, Beijing 100730,Peoples R China. Capital Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Optical Coherence Tomography-Assisted Enhanced Depth Imaging of Central Serous Chorioretinopathy
yang lih	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing Ophthalmol & Visual Sci Key Lab, Beijing 100730,Peoples R China. Capital Medical University	ACTA OPHTHALMOLOGICA	Choroidal vessel diameter in central serous chorioretinopathy
yang lin	China:Capital Med Univ, Beijing Tongren Eye Ctr, Beijing Tongren Hosp, Beijing 100730,Peoples R China. Capital Medical University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	A morphologic study of retinal toxicity induced by triamcinolone acetonide vehicles in rabbit eyes
yang lin	China:Capital Med Univ, Beijing Tongren Eye Ctr, Beijing Tongren Hosp, Beijing 100730,Peoples R China. Capital Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Quantitative research on effects of pyrrolidine dithiocarbamate on the aqueous flare in a PVR model with LFCM
yang lina	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	INTRAVITREALLY IMPLANTABLE VORICONAZOLE DELIVERY SYSTEM FOR EXPERIMENTAL FUNGAL ENDOPHTHALMITIS
yang lingling	China:Shandong Eye Inst, State Key Lab Cultivat Base, Shandong Prov Key Lab Ophthalmol, Qingdao 266071, Shandong,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Differentiation of human bone marrow -derived mesenchymal stem cells into neural-like cells by co-culture with retinal pigmented epithelial cells
yang liping	China:Peking Univ, Dept Ophthalmol, Key Lab Vis Loss & Restorat, Minist Educ,Hosp 3, Beijing 100871,Peoples R China. Peking University	PLOS ONE	Novel Mutations of RPGR in Chinese Retinitis Pigmentosa Patients and the Genotype-Phenotype Correlation
yang liping	China:Peking Univ, Dept Ophthalmol, Key Lab Vis Loss & Restorat, Minist Educ,Hosp 3, Beijing 100871,Peoples R China. Peking University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Baicalein Reduces Inflammatory Process in a Rodent Model of Diabetic Retinopathy
yang liping	China:Peking Univ, Dept Ophthalmol, Key Lab Vis Loss & Restorat, Minist Educ,Hosp 3, Beijing 100871,Peoples R China. Peking University	MOLECULAR VISION	Novel mutations of CRB1 in Chinese families presenting with retinal dystrophies
yang liping	China:Peking Univ, Dept Ophthalmol, Key Lab Vis Loss & Restorat, Minist Educ,Hosp 3, Beijing 100871,Peoples R China. Peking University	MOLECULAR VISION	A possible mechanism of microglia-photoreceptor crosstalk
yang liu	China:Capital Med Univ, Beijing Tiantan Hosp, Beijing,Peoples R China. Capital Medical University	ACTA OPHTHALMOLOGICA	Glaucoma-like optic neuropathy in patients with intracranial tumours
yang liu	China:Harvard Univ, Sch Med, Dept Ophthalmol, Schepens Eye Res Inst, Boston, MA USA. Harvard University	ARCHIVES OF OPHTHALMOLOGY	Minocycline Inhibition of Photoreceptor Degeneration
yang liu	China:Harvard Univ, Sch Med, Dept Ophthalmol, Schepens Eye Res Inst, Boston, MA USA. Harvard University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Elevated MMP expression in the MRL mouse retina creates a permissive environment for retinal regeneration
yang mei	China:Nantong Univ, Inst Eye, Affiliated Hosp, Nantong, Jiangsu,Peoples R China. Nantong University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	The Associations between Single Nucleotide Polymorphisms of DNA Repair Genes, DNA Damage, and Age-Related Cataract: Jiangsu Eye Study
yang min	China:Chengdu Univ TCM, Fac Pharm, Chengdu 610075, Sichuan Provinc,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Protective effect of Lycium barbarum polysaccharide on retinal ganglion cells in vitro
yang min	China:Xian Aier Ancient City Eye Hosp, Xian, Shaanxi,Peoples R China. 	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	TREATMENT OF RETINAL DETACHMENT SECONDARY TO MACULAR HOLE IN HIGHLY MYOPIC EYES Pars Plana Vitrectomy with Internal Limiting Membrane Peel and Silicone Oil Tamponade
yang ming	China:Capital Med Univ, Beijing Tongren Hosp, Beijing,Peoples R China. Capital Medical University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Visual Acuity and Subfoveal Choroidal Thickness: The Beijing Eye Study
yang mingming	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Association of C2 and CFB Polymorphisms with Anterior Uveitis
yang mingming	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	MOLECULAR VISION	Complement factor H and interleukin gene polymorphisms in patients with non-infectious intermediate and posterior uveitis
yang mingming	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	OPHTHALMOLOGY	Associations of the C2-CFB-RDBP-SKIV2L Locus with Age-related Macular Degeneration and Polypoidal Choroidal Vasculopathy
yang nan	China:Fourth Mil Med Univ, Sch Stomatol, Dept Orthodont, Xian 710032, Shaanxi Provinc,Peoples R China. Fourth Military Medical University	EXPERIMENTAL EYE RESEARCH	Hyperglycemia promotes vasculogenesis in choroidal neovascularization in diabetic mice by stimulating VEGF and SDF-1 expression in retinal pigment epithelial cells
yang peizeng	China:Chongqing Med Univ, Affiliated Hosp 1, Chongqing Key Lab Ophthalmol, Chongqing 400016,Peoples R China. Chongqing Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Sphingosine 1-Phosphate Elicits Proinflammatory Responses in ARPE-19 Cells
yang peizeng	China:Chongqing Med Univ, Affiliated Hosp 1, Chongqing Key Lab Ophthalmol, Chongqing 400016,Peoples R China. Chongqing Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Effect of Berberine on Proinflammatory Cytokine Production by ARPE-19 Cells following Stimulation with Tumor Necrosis Factor-alpha
yang peizeng	China:Chongqing Med Univ, Affiliated Hosp 1, Chongqing Key Lab Ophthalmol, Chongqing 400016,Peoples R China. Chongqing Medical University	MOLECULAR VISION	IL-17A stimulates the production of inflammatory mediators via Erk1/2, p38 MAPK, PI3K/Akt, and NF-kappa B pathways in ARPE-19 cells
yang peizeng	China:Chongqing Med Univ, Affiliated Hosp 1, Chongqing Key Lab Ophthalmol, Chongqing 400016,Peoples R China. Chongqing Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Activation of Liver X Receptor Alleviates Ocular Inflammation in Experimental Autoimmune Uveitis
yang peizeng	China:Chongqing Med Univ, Affiliated Hosp 1, Chongqing Key Lab Ophthalmol, Chongqing 400016,Peoples R China. Chongqing Medical University	PLOS ONE	Increased Expression of IL-22 Is Associated with Disease Activity in Behcet's Disease
yang peizeng	China:Chongqing Med Univ, Affiliated Hosp 1, Chongqing Key Lab Ophthalmol, Chongqing 400016,Peoples R China. Chongqing Medical University	MOLECULAR VISION	Increase in peripheral blood mononuclear cell Toll-like receptor 2/3 expression and reactivity to their ligands in a cohort of patients with wet age-related macular degeneration
yang peizeng	China:Chongqing Med Univ, Affiliated Hosp 1, Chongqing Key Lab Ophthalmol, Chongqing 400016,Peoples R China. Chongqing Medical University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	OCULAR MANIFESTATIONS OF SYPHILITIC UVEITIS IN CHINESE PATIENTS
yang peizeng	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	OPHTHALMOLOGY	Clinical features of Chinese patients with Behcet's disease
yang peizeng	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Retinal S-antigen Th1 cell epitope mapping in patients with Behcet's disease
yang peizeng	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Study of Macular Function by Multifocal Electroretinography in Patients With Vogt-Koyanagi-Harada Syndrome
yang qiang	China:Harvard Univ, Sch Med, Schepens Eye Res Inst, Dept Ophthalmol, Boston, MA 02114 USA. Harvard University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Microbead-Induced Ocular Hypertensive Mouse Model for Screening and Testing of Aqueous Production Suppressants for Glaucoma
yang qiaona	China:Sichuan Univ, West China Hosp, Translat Neurosci Ctr, State Key Lab Biotherapy, Chengdu 610064,Peoples R China. Sichuan University	EXPERIMENTAL EYE RESEARCH	Neuroprotective effects of C3 exoenzyme in excitotoxic retinopathy
yang qiaona	China:Sichuan Univ, West China Hosp, Translat Neurosci Ctr, State Key Lab Biotherapy, Chengdu 610064,Peoples R China. Sichuan University	PLOS ONE	Exome Sequencing Identifies Compound Heterozygous Mutations in CYP4V2 in a Pedigree with Retinitis Pigmentosa
yang qin	China:Nanjing Med Univ, Affiliated Hosp 1, Dept Ophthalmol, Nanjing 210029, Jiangsu,Peoples R China. Nanjing Medical University	MOLECULAR VISION	Complement factor H Val62Ile variant and risk of age-related macular degeneration: A meta-analysis
yang qin	China:Nanjing Med Univ, Affiliated Hosp 1, Dept Ophthalmol, Nanjing 210029, Jiangsu,Peoples R China. Nanjing Medical University	MOLECULAR VISION	Multiplex bead array assay of plasma cytokines in type 2 diabetes mellitus with diabetic retinopathy
yang qingfang	China:NW Polytech Univ, Xian 710072, Shanxi,Peoples R China. Northwestern Polytechnic University - China	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Biocompatibility and retinal support of a foldable capsular vitreous body injected with saline or silicone oil implanted in rabbit eyes
