ai ming	China:Wuhan Univ, Renmin Hosp, Dept Ophthalmol, Wuhan 430072,Peoples R China. Wuhan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Clinical analysis of firework-related ocular injuries during Spring Festival 2009
zhang hongmin	China:Henan Eye Inst, Henan Key Lab Keratopathy, Zhengzhou 450003,Peoples R China. 	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Spectrum of fungal keratitis in central China
zhang jings	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	ACTA OPHTHALMOLOGICA	Prevalence and incidence of ocular trauma in North China: the Beijing Eye Study
zhang jinsong	China:China Med Univ, Affiliated Hosp 4, Dept Ophthalmol, Shenyang 110005, Liaoning Prov,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Effect of amniotic membrane transplantation on rabbit conjunctival surface reconstruction at the recovering stage of alkali burn
zhang ju	China:Shandong Eye Inst, State Key Lab Cultivat Base, Shandong Prov Key Lab Ophthalmol, Qingdao 266071,Peoples R China. 	AMERICAN JOURNAL OF OPHTHALMOLOGY	Clinical Features of Immune Rejection After Corneoscleral Transplantation
zhang liqiong	China:Harbin Med Coll, Dept Ophthalmol, Affiliated Hosp 1, Harbin,Peoples R China. Harbin Medical University	CURRENT EYE RESEARCH	Prevalence of and Associated Factors for Corneal Blindness in a Rural Adult Population (The Southern Harbin Eye Study)
zhang maonian	China:Chinese Peoples Liberat Army Gen Hosp, Dept Ophthalmol, Beijing 100853,Peoples R China. 	AMERICAN JOURNAL OF OPHTHALMOLOGY	Intraocular Foreign Bodies in China: Clinical Characteristics, Prognostic Factors, and Visual Outcomes in 1421 Eyes
zhang mingzhi	China:Joint Shantou Int Eye Ctr, Shantou, Guangdong,Peoples R China. 	PLOS ONE	Epidemiology of Patients Hospitalized for Ocular Trauma in the Chaoshan Region of China, 2001-2010
zhang mingzhi	China:Joint Shantou Int Eye Ctr, Shantou, Guangdong,Peoples R China. 	PLOS ONE	Epidemiology of Pediatric Ocular Trauma in the Chaoshan Region, China, 2001-2010
zhang shi	China:Beihua Univ, Dept Pathol, Jilin 132011, Jilin Province,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Application of a modified pars plana lensectomy within traumatic eyes
zhang yaoguang	China:First Hosp Qiqihar, Qiqihar,Peoples R China. 	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Prevalence and causes of corneal blindness
zhang yi	China:Zhejiang Univ, Ctr Eye, Affiliated Hosp 2, Sch Med, Hangzhou 310009, Zhejiang,Peoples R China. Zhejiang University	ARCHIVES OF OPHTHALMOLOGY	Transocular Removal of a Retrobulbar Foreign Body and Internal Patch of the Posterior Exit Wound With Autologous Tenon Capsule
zhang ying	China:Chinese Peoples Liberat Army Gen Hosp, Dept Ophthalmol, Beijing 100853,Peoples R China. 	AMERICAN JOURNAL OF OPHTHALMOLOGY	Intraocular Foreign Bodies in China: Clinical Characteristics, Prognostic Factors, and Visual Outcomes in 1421 Eyes
zhang yuan	China:Second Mil Med Univ, Changhai Hosp, Dept Ophthalmol, Shanghai 200433,Peoples R China. Second Military Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Combined lens and vitreoretinal surgery in patients with traumatic cataract and intraocular foreign body
zhang yue	China:STU CUHK Joint Shantou Int Eye Ctr, Shantou 515041, Guangdong,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Application of a modified pars plana lensectomy within traumatic eyes
zhang yueqin	China:Henan Eye Ctr, Zhengzhou,Peoples R China. 	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	A Comparison of Cyclosporine 0.05% Ophthalmic Emulsion Versus Vehicle in Chinese Patients with Moderate to Severe Dry Eye Disease: An Eight-Week, Multicenter, Randomized, Double-Blind, Parallel-Group Trial
zhao bo	China:Shandong Univ, Qilu Hosp, Dept Rheumatol & Occupat Med, Jinan 250012, Shandong,Peoples R China. Shandong University	CUTANEOUS AND OCULAR TOXICOLOGY	Severe keloids caused by hydrogen cyanide injury: A case report
zhao j	China:Jilin Univ, Hosp 2, Dept Ophthalmol, Changchun 130021,Peoples R China. Jilin University	EYE	Determination of visual prognosis in children with open globe injuries
zhao j	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	BRITISH JOURNAL OF OPHTHALMOLOGY	Major shifts in corneal transplantation procedures in north China: 5316 eyes over 12 years
zhao j	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	MOLECULAR VISION	Amniotic membrane traps and induces apoptosis of inflammatory cells in ocular surface chemical burn
zhao j	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	AMERICAN JOURNAL OF OPHTHALMOLOGY	Clinical Features of Immune Rejection After Corneoscleral Transplantation
zhao jiangyue	China:China Med Univ, Affiliated Hosp 4, Dept Ophthalmol, Shenyang 110005, Liaoning Prov,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Effect of amniotic membrane transplantation on rabbit conjunctival surface reconstruction at the recovering stage of alkali burn
zhao l	China:Jilin Univ, Hosp 2, Dept Ophthalmol, Changchun 130021,Peoples R China. Jilin University	EYE	Determination of visual prognosis in children with open globe injuries
zhao shihong	China:Second Mil Med Univ, Changhai Hosp, Dept Ophthalmol, Shanghai 200433,Peoples R China. Second Military Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Combined lens and vitreoretinal surgery in patients with traumatic cataract and intraocular foreign body
zhao ying	China:Chinese Acad Med Sci, Dept Clin Microbiol, Peking Union Med Coll Hosp, Beijing 100730,Peoples R China. Chinese Academy of Medical Sciences - Peking Union Medical College	OPTOMETRY AND VISION SCIENCE	Mycobacterium massiliense Keratitis
zheng aning	China:Jinan Univ, Inst Ophthalmol, Coll Med, Guangzhou 510632, Guangdong,Peoples R China. Jinan University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Implantation of Iakymenko keratoprosthesis in patients with severe ocular injury
zheng tianyu	China:Fudan Univ, Eye & ENT Hosp, Dept Ophthalmol, Shanghai 200031,Peoples R China. Fudan University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	An In Vivo Confocal Microscopy and Impression Cytology Analysis of Goblet Cells in Patients with Chemical Burns
zhong xiaojian	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	OPHTHALMOLOGICA	Preventive Scleral Buckling and Silicone Oil Tamponade Are Important for Posttraumatic Endophthalmitis Successfully Managed with Vitrectomy
zhong yimin	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	JOURNAL OF GLAUCOMA	Evaluation of Secondary Glaucoma Associated With Subluxated Lens Misdiagnosed as Acute Primary Angle-closure Glaucoma
zhou lianhong	China:Wuhan Univ, Renmin Hosp, Dept Ophthalmol, Wuhan 430072,Peoples R China. Wuhan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Clinical analysis of firework-related ocular injuries during Spring Festival 2009
zhu tiepei	China:Zhejiang Univ, Ctr Eye, Affiliated Hosp 2, Sch Med, Hangzhou 310009, Zhejiang,Peoples R China. Zhejiang University	ARCHIVES OF OPHTHALMOLOGY	Transocular Removal of a Retrobulbar Foreign Body and Internal Patch of the Posterior Exit Wound With Autologous Tenon Capsule
zhu wei	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, Qingdao 266071,Peoples R China. 	EXPERIMENTAL EYE RESEARCH	alpha A-crystallin in the pathogenesis and intervention of experimental murine corneal neovascularization
zhu wei	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, Qingdao 266071,Peoples R China. 	MOLECULAR VISION	Comparison of genome-wide gene expression in suture- and alkali burn-induced murine corneal neovascularization
zhu wenqing	China:Fudan Univ, Eye & ENT Hosp, Dept Ophthalmol, Shanghai 200031,Peoples R China. Fudan University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	An In Vivo Confocal Microscopy and Impression Cytology Analysis of Goblet Cells in Patients with Chemical Burns
zou liuhe	China:Capital Med Univ, Beijing Tongren Hosp, Beijing,Peoples R China. Capital Medical University	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	A Comparison of Cyclosporine 0.05% Ophthalmic Emulsion Versus Vehicle in Chinese Patients with Moderate to Severe Dry Eye Disease: An Eight-Week, Multicenter, Randomized, Double-Blind, Parallel-Group Trial
