ai ming	China:Wuhan Univ, Renmin Hosp, Dept Ophthalmol, Wuhan 430072,Peoples R China. Wuhan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Clinical analysis of firework-related ocular injuries during Spring Festival 2009
xia huiyun	China:Henan Eye Inst, Henan Key Lab Keratopathy, Pharmaceut & Pharmacol Dept, Zhengzhou 450003,Peoples R China. 	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	Ocular Penetration and Pharmacokinetics of Topical Clarithromycin Eye Drops to Rabbits
xia jing	China:Soochow Univ, Dept Ophthalmol, Affiliated Hosp 1, Suzhou 215006,Peoples R China. Suzhou University	-SCIENCE AND CLINICAL PRACTICE	Plasma Surface Modification of Rigid Contact Lenses Decreases Bacterial Adhesion
xia likun	China:China Med Univ, Shengjing Hosp, Dept Ophthalmol, Shenyang 110004, Liaoning,Peoples R China. China Medical University	MOLECULAR VISION	A crucial role for B and T lymphocyte attenuator in preventing the development of CD4(+) T cell-mediated herpetic stromal keratitis
xia mingying	China:Fudan Univ, Inst Biomed Sci, Shanghai 200031,Peoples R China. Fudan University	BRITISH JOURNAL OF OPHTHALMOLOGY	CYP1B1 genotype influences the phenotype in primary congenital glaucoma and surgical treatment
xia ning	China:Cent S Univ, Xiangya Med Coll, Changsha 410078, Hunan,Peoples R China. Central South University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Keratorefractive surgery and glaucoma
xia wei	China:Soochow Univ, Dept Ophthalmol, Affiliated Hosp 1, Suzhou 215006,Peoples R China. Suzhou University	-SCIENCE AND CLINICAL PRACTICE	Plasma Surface Modification of Rigid Contact Lenses Decreases Bacterial Adhesion
xia xinchang	China:Shandong Univ, Peoples Hosp Jinan 2, Dept Ophthalmol, Jinan 250021, Shandong,Peoples R China. Shandong University	JOURNAL OF CATARACT AND REFRACTIVE SURGERY	Effect of irradiation time on riboflavin-ultraviolet-A collagen crosslinking in rabbit sclera
xia y	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	BRITISH JOURNAL OF OPHTHALMOLOGY	Torsional ultrasound modality for hard nucleus phacoemulsification cataract extraction
xia y	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	OPHTHALMIC SURGERY LASERS & IMAGING	A Comparative Study of Non-Chopping Rotation and Axial Rotation Versus Quick Chop Phacoemulsification Techniques
xia y	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	ACTA OPHTHALMOLOGICA	Comparison of bimanual and micro-coaxial phacoemulsification with torsional ultrasound
xia y	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	JOURNAL OF CATARACT AND REFRACTIVE SURGERY	Torsional ultrasound efficiency under different vacuum levels in different degrees of nuclear cataract
xia yingjie	China:Peking Univ, Hosp 3, Ctr Eye, Beijing 100871,Peoples R China. Peking University	JOURNAL OF REFRACTIVE SURGERY	Anterior Segment Optical Coherence Tomography Measurement of Flap Thickness After Myopic LASIK Using the Mona One Use-Plus Microkeratome
xia yingjie	China:Peking Univ, Hosp 3, Ctr Eye, Beijing 100871,Peoples R China. Peking University	JOURNAL OF REFRACTIVE SURGERY	Comparison of Corneal Flap Morphology Using AS-OCT in LASIK With the WaveLight FS200 Femtosecond Laser Versus a Mechanical Microkeratome
xia yu	China:PLA Navy Gen Hosp, Dept Ophthalmol, Beijing 100048,Peoples R China. 	CORNEA	Corneal Collagen Fibril Changes After Ultraviolet A/Riboflavin Corneal Crosslinking
xia yu	China:Shanghai Jiao Tong Univ, Dept Biomed Engn, Sch Life Sci & Biotechnol, Inst Laser Med & Biophoton, Shanghai 200240,Peoples R China. Shanghai Jiao Tong University	JOURNAL OF REFRACTIVE SURGERY	Synergistic Effects of Ultraviolet A/Riboflavin and Glucose on Corneal Collagen Cross-linking
xia yu	China:Shanghai Jiao Tong Univ, Dept Biomed Engn, Sch Life Sci & Biotechnol, Inst Laser Med & Biophoton, Shanghai 200240,Peoples R China. Shanghai Jiao Tong University	EXPERIMENTAL EYE RESEARCH	Corneal nerve morphology and sensitivity changes after ultraviolet A/riboflavin treatment
xia yuan	China:Nanjing Univ, Sch Med, Jinling Hosp, Dept Ophthalmol, Nanjing 210002,Peoples R China. Nanjing University	MOLECULAR VISION	Lornoxicam suppresses recurrent herpetic stromal keratitis through down-regulation of nuclear factor-kappa B: an experimental study in mice
xia yuanling	China:Guiyang Med Coll, Affiliated Hosp 1, Dept Ophthalmol, Guiyang, Guizhou,Peoples R China. 	ACTA OPHTHALMOLOGICA	Early changes in clear cornea incision after phacoemulsification: an anterior segment optical coherence tomography study
xiang daoman	China:Guangzhou Children Hosp, Dept Ophthalmol, Guangzhou 510120, Guangdong,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Experimental study on cervical lymph nodes removal enhance allograft survival in alkali-burned cornea
xiang daoman	China:Guangzhou Childrens Hosp, Dept Ophthalmol, Harbin,Peoples R China. 	OPHTHALMOLOGICA	Clinical and experimental research of corneal lymphangiogenesis after keratoplasty
xiang fan	China:Sun Yat Sen Univ, Dept Prevent Ophthalmol, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Distribution and Heritability of Intraocular Pressure in Chinese Children: The Guangzhou Twin Eye Study
xiang jun	China:Fudan Univ, EYE & ENT Hosp, Key Lab Myopia, Minist Hlth,Dept Ophthalmol, Shanghai 200433,Peoples R China. Fudan University	PLOS ONE	Confocal Comparison of Corneal Reinnervation after Small Incision Lenticule Extraction (SMILE) and Femtosecond Laser In Situ Keratomileusis (FS-LASIK)
xiang minghong	China:Affiliated Shanghai Tradit Med Univ, Putuo Hosp, Dept Ophthalmol, Shanghai,Peoples R China. 	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	In Vivo Cross-Sectional Observation and Thickness Measurement of Bulbar Conjunctiva Using Optical Coherence Tomography
xiang minhong	China:Shanghai Univ Tradit Chinese Med, Putuo Hosp, Dept Ophthalmol, Shanghai 200062,Peoples R China. Shanghai University of Traditional Chinese Medicine & Pharmacology	CORNEA	Lower Eyelid Tension in Young Adults Determined by a Simple Lid Tensiometer
xiao bing	China:Wenzhou Med Univ, Sch Ophthalmol & Optometty, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	EXPERIMENTAL EYE RESEARCH	Reactive oxygen species activated NLRP3 inflammasomes prime environment-induced murine dry eye
xiao gege	China:Peking Univ Third Hosp, Peking Univ Eye Ctr, Key Lab Vis Loss & Restorat, Beijing 100191,Peoples R China. Peking University	OPHTHALMOLOGY	Usefulness of Frequency-Doubling Technology for Perimetrically Normal Eyes of Open-Angle Glaucoma Patients with Unilateral Field Loss
xiao he	China:Chinese Acad Med Sci, Inst Basic Med Sci, Dept Mol Immunol, Beijing 100730,Peoples R China. Chinese Academy of Medical Sciences - Peking Union Medical CollegeInstitute of Basic Medical Sciences - CAMS	MOLECULAR VISION	Topical application of FTY720 and cyclosporin A prolong corneal graft survival in mice
xiao hui	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Sodium Hyaluronate Decreases Ocular Surface Toxicity Induced by Benzalkonium Chloride-Preserved Latanoprost: An In Vivo Study
xiao huizhen	China:Harbin Med Univ, Affiliated Hosp 2, Dept Ophthalmol, Harbin 150086,Peoples R China. Harbin Medical University	EUROPEAN JOURNAL OF OPHTHALMOLOGY	Combined silicone oil removal with secondary implantation of anterior chamber or sclera-fixed posterior chamber intraocular lenses
xiao jianhe	China:Jinan Mil Gen Hosp, Dept Ophthalmol, Jinan 250031, Shandong,Peoples R China. 	BRITISH JOURNAL OF OPHTHALMOLOGY	When case report became case series: 45 cases of late traumatic flap complications after laser-assisted in situ keratomileusis and review of Chinese literature
xiao lin	China:Capital Univ Med Sci, Dept Ophthalmol, Beijing Shijitan Hosp, Beijing,Peoples R China. Capital Medical University	JOURNAL OF CATARACT AND REFRACTIVE SURGERY	Efficacy and safety of intracameral triamcinolone acetonide to control postoperative inflammation after phacotrabeculectomy
xiao ma	China:Shi Ji Tan Hosp, Dept Ophthalmol, Beijing,Peoples R China. 	CORNEA	Implantation of Hydroxyapatite-Titanium Corneal Implants in Rat Cornea
xiao manyi	China:Cent S Univ, Xiangya Hosp 2, Dept Ophthalmol, Changsha 410011, Hunan,Peoples R China. Central South University	JOURNAL OF GLAUCOMA	Comparison of the Icare Tonometer and the Hand-held Goldmann Applanation Tonometer in Pediatric Aphakia
xiao nan	China:Harbin Med Coll, Affiliated Hosp 1, Hosp Eye, Key Lab Harbin Med Univ Eye Ctr, Harbin 150001,Peoples R China. Harbin Medical University	MOLECULAR VISION	Comparison of the antiangiogenic activity of modified RGDRGD-endostatin to endostatin delivered by gene transfer in vivo rabbit neovascularization model
xiao nan	China:Harbin Med Coll, Affiliated Hosp 1, Hosp Eye, Key Lab Harbin Med Univ Eye Ctr, Harbin 150001,Peoples R China. Harbin Medical University	EXPERIMENTAL EYE RESEARCH	A C-terminal fragment BIGH3 protein with an RGDRGD motif inhibits corneal neovascularization in vitro and in vivo
xiao ou	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Inhibition of mouse alkali burn induced-corneal neovascularization by recombinant adenovirus encoding human vasohibin-1
xiao shiyi	China:Jinan Univ, Affiliated Hosp 2, Dept Ophthalmol, Shenzhen Peoples Hosp, Shenzhen 518020, Guangdong,Peoples R China. Jinan University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Experimental study on cervical lymph nodes removal enhance allograft survival in alkali-burned cornea
xiao shiyi	China:Jinan Univ, Affiliated Hosp 2, Dept Ophthalmol, Shenzhen Peoples Hosp, Shenzhen 518020, Guangdong,Peoples R China. Jinan University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	beta-catenin expression in rat neovascularized cornea after alkali burn
xiao wei	China:China Med Univ, Shengjing Hosp, Dept Ophthalmol, Shenyang 110004, Liaoning Prov,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Changes of corneal central thickness of aphakia following congenital cataract surgery under the first six months of life
xiao xinye	China:Xiamen Univ, Affiliated Hosp 1, Dept Ophthalmol, Xiamen 361005, Fujian,Peoples R China. Xiamen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Therapeutic Effects of Epidermal Growth Factor on Benzalkonium Chloride-Induced Dry Eye in a Mouse Model
xiao xinye	China:Xiamen Univ, Affiliated Hosp 1, Dept Ophthalmol, Xiamen 361005, Fujian,Peoples R China. Xiamen University	EXPERIMENTAL EYE RESEARCH	Amniotic membrane extract ameliorates benzalkonium chloride-induced dry eye in a murine model
xiao xinye	China:Xiamen Univ, Affiliated Hosp 1, Dept Ophthalmol, Xiamen 361005, Fujian,Peoples R China. Xiamen University	MOLECULAR VISION	Increased importin 13 activity is associated with the pathogenesis of pterygium
xiao xinye	China:Xiamen Univ, Affiliated Hosp 1, Dept Ophthalmol, Xiamen 361005, Fujian,Peoples R China. Xiamen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	SERPINA3K Protects against Oxidative Stress via Modulating ROS Generation/Degradation and KEAP1-NRF2 Pathway in the Corneal Epithelium
xiao xuan	China:Shandong Eye Inst, State Key Lab Cultivat Base, Shandong Prov Key Lab Ophthalmol, Qingdao 266071,Peoples R China. 	EUROPEAN JOURNAL OF OPHTHALMOLOGY	The influencing factors and characteristics of corneal graft endothelial decompensation after penetrating keratoplasty
xiao xuan	China:Shandong Eye Inst, State Key Lab Cultivat Base, Shandong Prov Key Lab Ophthalmol, Qingdao 266071,Peoples R China. 	MOLECULAR VISION	Molecular evidence of senescence in corneal endothelial cells of senescence-accelerated mice
xiao xuan	China:Wuhan Univ, Renmin Hosp, Dept Ophthalmol, Wuhan 430060, Hubei Province,Peoples R China. Wuhan University	BMC OPHTHALMOLOGY	Prevalence of infectious keratitis in Central China
xiao xueshan	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	PAX6 Mutations Identified in 4 of 35 Families with Microcornea
xiao xueshan	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	A novel mutation of PAX6 in Chinese patients with new clinical features of Peters' anomaly
xiao xueshan	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Mutational screening of six genes in Chinese patients with congenital cataract and microcornea
xiao xueshan	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	OPHTHALMIC GENETICS	Microphthalmia, late onset keratitis, and iris coloboma/aniridia in a family with a novel PAX6 mutation
xiao yanhui	China:Soochow Univ, Dept Ophthalmol, Affiliated Hosp 1, Suzhou 215006,Peoples R China. Suzhou University	MOLECULAR VISION	ADP-ribosylation factor as a novel target for corneal neovascularization regression
xiao zhen	China:Peking Univ, Ctr Eye, Hosp 3, Beijing 100191,Peoples R China. Peking University	OPHTHALMIC RESEARCH	The in vitro Study of Pressure Change Effect on Corneal Birefringence
xie airui	China:Sichuan Univ, W China Hosp, Dept Ophthalmol, Chengdu 610041, Sichuan Prov,Peoples R China. Sichuan University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	TGFBI gene mutation analysis in a Chinese pedigree of Avellino corneal dystrophy
xie binbin	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, Cataract Dept, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	CORNEA	Early Changes in Morphology and Intraocular Pressure by Size of Clear Corneal Incision
xie chunlei	China:Tongji Univ, Sch Med, Shanghai Peoples Hosp 10, Dept Ophthalmol, Shanghai 200072,Peoples R China. Tongji University	EXPERIMENTAL EYE RESEARCH	Differentiating vitreous proteomes in proliferative diabetic retinopathy using high-performance liquid chromatography coupled to tandem mass spectrometry
xie hanping	China:Third Mil Med Univ, Affiliated Hosp 1, Chongqing,Peoples R China. Third Military Medical University	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	A Comparison of Cyclosporine 0.05% Ophthalmic Emulsion Versus Vehicle in Chinese Patients with Moderate to Severe Dry Eye Disease: An Eight-Week, Multicenter, Randomized, Double-Blind, Parallel-Group Trial
xie hanping	China:Third Mil Med Univ, Affiliated Hosp 1, Chongqing,Peoples R China. Third Military Medical University	OPHTHALMIC RESEARCH	Corneal and Aqueous Humor Concentrations of Amphotericin B Using Three Different Routes of Administration in a Rabbit Model
xie hanping	China:Third Mil Med Univ, Affiliated Hosp 1, Chongqing,Peoples R China. Third Military Medical University	CURRENT EYE RESEARCH	Toxicity and Pharmacokinetics of Intrastromal Injection of Amphotericin B in a Rabbit Model
xie hanping	China:Third Mil Med Univ, Affiliated Hosp 1, Chongqing,Peoples R China. Third Military Medical University	OPHTHALMOLOGICA	Tear film function in type 2 diabetic patients with retinopathy
xie huatao	China:Huazhong Univ Sci & Technol, Dept Ophthalmol, Union Hosp, Tongji Med Coll, Wuhan 430074,Peoples R China. Huazhong University of Science & Technology	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Angiogenesis Potential of Human Limbal Stromal Niche Cells
xie huatao	China:Huazhong Univ Sci & Technol, Dept Ophthalmol, Union Hosp, Tongji Med Coll, Wuhan 430074,Peoples R China. Huazhong University of Science & Technology	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Mesenchymal Stem Cells Derived from Human Limbal Niche Cells
xie hui	China:Jiangxi Prov Peoples Hosp, Jiangxi Eye Ctr, Nanchang 330006, Jiangxi,Peoples R China. 	CUTANEOUS AND OCULAR TOXICOLOGY	Prognosis of corneal wasp sting: case report and review of the literature
xie jiajun	China:Zhejiang Univ, Coll Med, Affiliated Hosp 2, Ctr Eye, Hangzhou 310009, Zhejiang,Peoples R China. Zhejiang University	MOLECULAR VISION	Genoprotective effect of hyaluronic acid against benzalkonium chloride-induced DNA damage in human corneal epithelial cells
xie jiajun	China:Zhejiang Univ, Coll Med, Affiliated Hosp 2, Ctr Eye, Hangzhou 310009, Zhejiang,Peoples R China. Zhejiang University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Cytoprotective effect of hyaluronic acid and hydroxypropyl methylcellulose against DNA damage induced by thimerosal in Chang conjunctival cells
xie jiajun	China:Zhejiang Univ, Coll Med, Affiliated Hosp 2, Ctr Eye, Hangzhou 310009, Zhejiang,Peoples R China. Zhejiang University	MOLECULAR VISION	17-beta-estradiol inhibits hyperosmolarity-induced proinflammatory cytokine elevation via the p38 MAPK pathway in human corneal epithelial cells
xie jing	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	The Development of the Refractive Status and Ocular Growth in C57BL/6 Mice
xie jing	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	VISION RESEARCH	Biometric measurement of the mouse eye using optical coherence tomography with focal plane advancement
xie jinliang	China:Cent S Univ, Xiangya Hosp, Changsha 410008, Hunan,Peoples R China. Central South University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Analysis of the relationship between postoperative ophthalmic complications and dialysis time of pre-kidney transplantation
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	BRITISH JOURNAL OF OPHTHALMOLOGY	Major shifts in corneal transplantation procedures in north China: 5316 eyes over 12 years
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	EUROPEAN JOURNAL OF OPHTHALMOLOGY	Association of HSV-1 antigen distribution in the cornea with clinical characteristics of herpetic stromal keratitis
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	OPHTHALMIC RESEARCH	Inhibitory Effect of Canstatin in Alkali Burn-Induced Corneal Neovascularization
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	OPHTHALMOLOGY	Features of Recurrence after Excimer Laser Phototherapeutic Keratectomy for Anterior Corneal Pathologies in North China
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	OPHTHALMOLOGY	Comparison of Penetrating Keratoplasty and Deep Lamellar Keratoplasty for Macular Corneal Dystrophy and Risk Factors of Recurrence
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Novel bioactivity of NHERF1 in corneal neovascularization
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Overexpression of SIRT1 Promotes High Glucose-Attenuated Corneal Epithelial Wound Healing via p53 Regulation of the IGFBP3/IGF-1R/AKT Pathway
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	PLOS ONE	Histological Evaluation of Corneal Scar Formation in Pseudophakic Bullous Keratopathy
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	MOLECULAR VISION	Inhibition of VEGF expression and corneal neovascularization by shRNA targeting HIF-1 alpha in a mouse model of closed eye contact lens wear
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Trends in the indications for penetrating keratoplasty in Shandong, 2005-2010
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Therapeutic effect of deep anterior lamellar keratoplasty for active or quiescent herpetic stromal keratitis
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	CORNEA	Advanced Topography-Guided (OcuLink) Treatment of Irregular Astigmatism After Epikeratophakia in Keratoconus With the WaveLight Excimer Laser
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Refractive accuracy after intraocular lens implantation in pediatric cataract
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Development of a novel ex vivo model of corneal fungal adherence
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Role of Adaptive Immunity in the Pathogenesis of Candida albicans Keratitis
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	MOLECULAR VISION	Histone deacetylase inhibitors blocked activation and caused senescence of corneal stromal cells
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	MOLECULAR VISION	Multi-gene targeted antiangiogenic therapies for experimental corneal neovascularization
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	CORNEA	Clinical Features and Surgical Treatment of Peripheral Staphyloma
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Combined penetrating keratoplasty and keratolimbal allograft transplantation in comparison with corneoscleral transplantation in the treatment of severe eye burns
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	CORNEA	Penetrating Keratoplasty With Small-Diameter and Glycerin-Cryopreserved Grafts for Eccentric Corneal Perforations
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	CURRENT EYE RESEARCH	Role of Extracellular Phospholipase B of Candida albicans as a Virulent Factor in Experimental Keratomycosis
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Establishment of a murine model of chronic corneal allograft dysfunction
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	MOLECULAR VISION	Activation of focal adhesion kinase enhances the adhesion of Fusarium solani to human corneal epithelial cells via the tyrosine-specific protein kinase signaling pathway
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	MOLECULAR VISION	An R124C mutation in TGFBI caused lattice corneal dystrophy type I with a variable phenotype in three Chinese families
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	MOLECULAR VISION	Expression of senescence-related genes in human corneal endothelial cells
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	MOLECULAR VISION	Inhibitory effects of polysaccharide extract from Spirulina platensis on corneal neovascularization
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	OPHTHALMOLOGY	Risk Factors, Clinical Features, and Outcomes of Recurrent Fungal Keratitis after Corneal Transplantation
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	OPHTHALMOLOGY	Treatment failure after lamellar keratoplasty for fungal keratitis
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	INTRAVITREALLY IMPLANTABLE VORICONAZOLE DELIVERY SYSTEM FOR EXPERIMENTAL FUNGAL ENDOPHTHALMITIS
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	EUROPEAN JOURNAL OF OPHTHALMOLOGY	Pediatric microbial keratitis: a tertiary hospital study
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	AMERICAN JOURNAL OF OPHTHALMOLOGY	Primary diseases of corneal perforation in Shandong Province, China: A 10-year retrospective study
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Antifungal chemotherapy for fungal keratitis guided by in vivo confocal microscopy
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	AMERICAN JOURNAL OF OPHTHALMOLOGY	Antifungal susceptibility for common pathogens of fungal keratitis in Shandong Province, China
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	AMERICAN JOURNAL OF OPHTHALMOLOGY	Clinical Features of Immune Rejection After Corneoscleral Transplantation
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	BRITISH JOURNAL OF OPHTHALMOLOGY	Long-term outcome of black diaphragm intraocular lens implantation in traumatic aniridia
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	EUROPEAN JOURNAL OF OPHTHALMOLOGY	The influencing factors and characteristics of corneal graft endothelial decompensation after penetrating keratoplasty
